#CODE	ENGLISH	ENGLISH
IS_NOT_LOVER_OF	Is NOT a Lover of §Y$WHO$§!	Is NOT a Lover of §Y$WHO$§!
EVTOPTA_RoI_160	Ah, good.	Ah, good.
EVTDESC_RoI_161	It was impossible to capture the crazed beast. It killed several more people, flattened a couple of buildings and then ran off into the countryside.	It was impossible to capture the crazed beast. It killed several more people, flattened a couple of buildings and then ran off into the countryside.
EVTOPTA_RoI_161	Unfortunate.	Unfortunate.
EVTDESC_RoI_162	A couple of veteran elephant handlers managed to snare and capture the elephant. It has been brought safely to the pens.	A couple of veteran elephant handlers managed to snare and capture the elephant. It has been brought safely to the pens.
EVTOPTA_RoI_162	Excellent!	Excellent!
EVTDESC_RoI_400	It seems that my interest in the Indian religions has come to the attention of one of their practitioners within the realm. We met and have had the most fruitful discussions about theology and other matters.	It seems that my interest in the Indian religions has come to the attention of one of their practitioners within the realm. We met and have had the most fruitful discussions about theology and other matters.
EVTOPTA_RoI_400	I have made a friend!	I have made a friend!
EVTDESC_RoI_401	You have received a visitor - an emissary from the famous university at Nalanda. He tells of you of the research and other work they do there and offers you a formal invitation to visit and see this marvel of Bihar.	You have received a visitor - an emissary from the famous university at Nalanda. He tells of you of the research and other work they do there and offers you a formal invitation to visit and see this marvel of Bihar.
EVTOPTA_RoI_401	Interesting - I will accept the invitation.	Interesting - I will accept the invitation.
EVTOPTB_RoI_401	I don't have the time.	I don't have the time.
EVTNAME_RoI_402	Nalanda	Nalanda
EVTDESC_RoI_402	You have arrived at the magnificent University of Nalanda. It's a massive complex of red brick buildings, busy with a bustle of scholars and monks. You have been told that people come here from all over India and beyond in order to study and exchange ideas. The library has a huge amount of texts in every language known to man.\n\nIt's an impresssive place. You don't have much time to spend here, however, so you need to decide what to do...	You have arrived at the magnificent University of Nalanda. It's a massive complex of red brick buildings, busy with a bustle of scholars and monks. You have been told that people come here from all over India and beyond in order to study and exchange ideas. The library has a huge amount of texts in every language known to man.\n\nIt's an impresssive place. You don't have much time to spend here, however, so you need to decide what to do...
EVTOPTA_RoI_402	I will focus on studying the architecture.	I will focus on studying the architecture.
EVTOPTB_RoI_402	I think I will spend a few days in the library.	I think I will spend a few days in the library.
EVTOPTC_RoI_402	I have come to receive religious instruction.	I have come to receive religious instruction.
become_samrat_chakravartin	Become Samrat Chakravartin	Become Samrat Chakravartin
become_samrat_chakravartin_desc	An Indian ruler who manages to emulate Ashoka the Great and unite all the lands of India under [Root.GetHerHis] rule may claim the title of Samrat Chakravartin, Emperor of Emperors. This title embodies the concept of the ideal and universal world ruler in Indian tradition. Claiming it is a hard task, but living up to it may be even harder...	An Indian ruler who manages to emulate Ashoka the Great and unite all the lands of India under [Root.GetHerHis] rule may claim the title of Samrat Chakravartin, Emperor of Emperors. This title embodies the concept of the ideal and universal world ruler in Indian tradition. Claiming it is a hard task, but living up to it may be even harder...
has_court_guru	Court Guru	Court Guru
nick_the_leper	the Leper	the Leper
PEACE	Peace	Peace
d_tamil_band	Tamil Band	Tamil Band
d_tamil_band_adj	Tamil	Tamil
d_marathi_company	Marathi Company	Marathi Company
d_marathi_company_adj	Marathi	Marathi
d_marathi_band	Marathi Band	Marathi Band
d_marathi_band_adj	Marathi	Marathi
d_bengal_company	Bengal Company	Bengal Company
d_bengal_company_adj	Bengal	Bengal
d_bengal_band	Bengal Band	Bengal Band
d_bengal_band_adj	Bengal	Bengal
d_rajput_company	Rajput Company	Rajput Company
d_rajput_company_adj	Rajput	Rajput
d_rajput_band	Rajput Band	Rajput Band
d_rajput_band_adj	Rajput	Rajput
TRAIT_OPINION_CHURCH	Church Opinion: $VALUE$	Church Opinion: $VALUE$
TRAIT_OPINION_CHRISTIAN_CHURCH	Christian Church Opinion: $VALUE$	Christian Church Opinion: $VALUE$
TRAIT_OPINION_SPOUSE	Spouse Opinion: $VALUE$	Spouse Opinion: $VALUE$
TRAIT_OPINION_SEX_APPEAL	Attraction Opinion: $VALUE$	Attraction Opinion: $VALUE$
TRAIT_OPINION_DYNASTY	Dynasty Opinion: $VALUE$	Dynasty Opinion: $VALUE$
TRAIT_OPINION_VASSAL	Vassal Opinion: $VALUE$	Vassal Opinion: $VALUE$
TRAIT_OPINION_LIEGE	Liege Opinion: $VALUE$	Liege Opinion: $VALUE$
TRAIT_OPINION_INFIDEL	Other Faith Opinion: $VALUE$	Other Faith Opinion: $VALUE$
TRAIT_OPINION_SAME_TRAIT	Same Trait Opinion: $VALUE$	Same Trait Opinion: $VALUE$
TRAIT_OPINION_SAME_TRAIT_SAME_REL	Religious Same Trait Opinion: $VALUE$	Religious Same Trait Opinion: $VALUE$
TRAIT_OPINION_OPPOSITE_TRAIT	Opposite Trait Opinion: $VALUE$	Opposite Trait Opinion: $VALUE$
TRAIT_OPINION_SAME_RELIGION	Same Faith Opinion: $VALUE$	Same Faith Opinion: $VALUE$
TRAIT_OPINION_MUSLIM	Muslim Opinion: $VALUE$	Muslim Opinion: $VALUE$
TRAIT_OPINION_ZORO	Zoroastrian Opinion: $VALUE$	Zoroastrian Opinion: $VALUE$
TRAIT_OPINION_JEWISH	Jewish Opinion: $VALUE$	Jewish Opinion: $VALUE$
TRAIT_OPINION_CHRISTIAN	Christian Opinion: $VALUE$	Christian Opinion: $VALUE$
TRAIT_OPINION_AMBITION	Ambition Opinion: $VALUE$	Ambition Opinion: $VALUE$
indian_has_not_converted	Has not already converted	Has not already converted
EVTDESC_RoI_1080	Tempers flaring at the feast! A duel broke out between [FromFromFrom.GetFullName] and [FromFrom.GetFullName], and the ringing of steel on steel held the spectators captive for several intense moments.\n\n[FromFrom.GetFullName] lost but he suffered only minor wounds.	Tempers flaring at the feast! A duel broke out between [FromFromFrom.GetFullName] and [FromFrom.GetFullName], and the ringing of steel on steel held the spectators captive for several intense moments.\n\n[FromFrom.GetFullName] lost but he suffered only minor wounds.
EVTDESC_RoI_1081	Tempers flaring at the feast! A duel broke out between [FromFromFrom.GetFullName] and [FromFrom.GetFullName], and the ringing of steel on steel held the spectators captive for several intense moments.\n\n[FromFrom.GetFullName] lost and lies wounded on the ground.	Tempers flaring at the feast! A duel broke out between [FromFromFrom.GetFullName] and [FromFrom.GetFullName], and the ringing of steel on steel held the spectators captive for several intense moments.\n\n[FromFrom.GetFullName] lost and lies wounded on the ground.
EVTDESC_RoI_1082	Tempers flaring at the feast! A duel broke out between [FromFromFrom.GetFullName] and [FromFrom.GetFullName], and the ringing of steel on steel held the spectators captive for several intense moments.\n\n[FromFrom.GetFullName] lost and was horribly maimed.	Tempers flaring at the feast! A duel broke out between [FromFromFrom.GetFullName] and [FromFrom.GetFullName], and the ringing of steel on steel held the spectators captive for several intense moments.\n\n[FromFrom.GetFullName] lost and was horribly maimed.
EVTDESC_RoI_1083	Tempers flaring at the feast! A duel broke out between [FromFromFrom.GetFullName] and [FromFrom.GetFullName], and the ringing of steel on steel held the spectators captive for several intense moments.\n\n[FromFrom.GetFullName] was killed!	Tempers flaring at the feast! A duel broke out between [FromFromFrom.GetFullName] and [FromFrom.GetFullName], and the ringing of steel on steel held the spectators captive for several intense moments.\n\n[FromFrom.GetFullName] was killed!
EVTDESC_RoI_3202	Lately, you have been enganging in long philosophical conversations with [From.GetFirstNameWithNick], your court guru. You have been discussing Buddhism, and how you can become master over your desires and weaknessess and eliminate the suffering they cause in your soul.	Lately, you have been enganging in long philosophical conversations with [From.GetFirstNameWithNick], your court guru. You have been discussing Buddhism, and how you can become master over your desires and weaknessess and eliminate the suffering they cause in your soul.
EVTOPTA_RoI_3202	I feel I have been helped by this!	I feel I have been helped by this!
EVTOPTB_RoI_3202	It's no use!	It's no use!
obj_buddhist_stop_drinking_title	Stop Drinking	Stop Drinking
obj_buddhist_stop_drinking_desc	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to abandon [This.GetHerHis] harmful drinking habits.	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to abandon [This.GetHerHis] harmful drinking habits.
obj_buddhist_reject_empty_pleasures_title	Learn to Reject Empty Pleasures	Learn to Reject Empty Pleasures
obj_buddhist_reject_empty_pleasures_desc	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject emply pleasures.	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject emply pleasures.
obj_buddhist_abstain_sexual_excess_title	Learn to Abstain from Excesses of the Flesh	Learn to Abstain from Excesses of the Flesh
obj_buddhist_abstain_sexual_excess_desc	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to abstain from excesses of the flesh.	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to abstain from excesses of the flesh.
obj_buddhist_reject_cruelty_title	Reject Cruelty	Reject Cruelty
obj_buddhist_reject_cruelty_desc	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject cruelty.	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject cruelty.
obj_buddhist_temperance_food_title	Learn Temperance with Food	Learn Temperance with Food
obj_buddhist_temperance_food_desc	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to eat without excess.	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to eat without excess.
obj_buddhist_reject_greed_title	Learn to Reject the Poison of Greed	Learn to Reject the Poison of Greed
obj_buddhist_reject_greed_desc	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject the poison that greed brings to the mind.	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject the poison that greed brings to the mind.
obj_buddhist_reject_envy_title	Learn to Reject Envy	Learn to Reject Envy
obj_buddhist_reject_envy_desc	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject the poison that envy brings to the mind.	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject the poison that envy brings to the mind.
obj_buddhist_reject_hate_title	Learn to Reject Hate	Learn to Reject Hate
obj_buddhist_reject_hate_desc	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject the poison that hate and anger brings to the mind.	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject the poison that hate and anger brings to the mind.
obj_buddhist_reject_pride_title	Learn to Reject Pride	Learn to Reject Pride
obj_buddhist_reject_pride_desc	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject pride.	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to reject pride.
obj_buddhist_defeat_fear_title	Defeat Fear	Defeat Fear
obj_buddhist_defeat_fear_desc	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to defeat [This.GetHerHis] fear of the world and of the designs of others.	[This.GetTitledFirstName], as a devoted Buddhist, is trying to learn to defeat [This.GetHerHis] fear of the world and of the designs of others.
temple_barony_of_hindu	Mandir of	Mandir of
temple_barony_of_buddhist	Vihara of	Vihara of
temple_barony_of_jain	Derasar of	Derasar of
DEATH_SACRIFICED	was offered up in sacrifice to the Gods by $KILLER$	was offered up in sacrifice to Pagan gods by $KILLER$
obj_become_paragon_of_enlightenment_title	Become Paragon of Enlightenment	Become Paragon of Enlightenment
obj_become_paragon_of_enlightenment_desc	[This.GetTitledFirstName] strives to improve [This.GetHerHis] [This.Religion.GetPietyName] and become enlightened, an inspiration to all of [This.GetHerHis] faith.	[This.GetTitledFirstName] strives to improve [This.GetHerHis] [This.Religion.GetPietyName] and become enlightened, an inspiration to all of [This.GetHerHis] faith.
opinion_enlightened	Enlightened	Enlightened
paragon_of_enlightenment	Paragon of Enlightenment	Paragon of Enlightenment
EVTTOOLTIP1_RoI_2001	Reply is sent to [From.GetFullName]	Reply is sent to [From.GetFullName]
brahmin_desc	This character belongs to the Brahmin caste. It is the Indian caste of priests and scholars, highest in the caste hierarchy.	This character belongs to the Brahmin caste. It is the Indian caste of priests and scholars, highest in the caste hierarchy.
kshatriya_desc	This character belongs to the Kshatriya caste. It is the Indian caste of warriors and kings, second in the caste hierarchy.	This character belongs to the Kshatriya caste. It is the Indian caste of warriors and kings, second in the caste hierarchy.
vaishya_desc	This character belongs to the Vaishya caste. It is the Indian caste of traders and artisans, third in the caste hierarchy.	This character belongs to the Vaishya caste. It is the Indian caste of traders and artisans, third in the caste hierarchy.
convert_indian_branch	Change Religious Branch	Change Religious Branch
jain_ahimsa_tooltip	This act violates the Jain doctrine of Ahimsa, or non-violence\n	This act violates the Jain doctrine of Ahimsa, or non-violence
ARRANGE_MARRIAGE_DESC	Arrange a marriage with one of the most eligible potential spouses available.	Arrange a marriage with one of the most eligible potential spouses available.
alert_demesne_too_big_instant	§YDemesne too Big§!	§YDemesne too Big§!
alert_demesne_too_big_delayed	Your demesne has §Y$NUM$§!/§Y$MAX$§! holdings, causing inefficient taxation, troop recruitment and resentment among your vassals.	Your demesne has §Y$NUM$§!/§Y$MAX$§! holdings, causing inefficient taxation, troop recruitment and resentment among your vassals.
horse_archers_modifier	Combat Modifier boost to Horse Archer Troops: $PERC$	Combat Modifier boost to Horse Archer Troops: $PERC$
camel_cavalry_modifier	Combat Modifier boost to Camel Mounted Troops: $PERC$	Combat Modifier boost to Camel Mounted Troops: $PERC$
war_elephants_modifier	Combat Modifier boost to Elephant Mounted Troops: $PERC$	Combat Modifier boost to Elephant Mounted Troops: $PERC$
EVTDESC_RoI_500	Some traveling merchants from Europe have arrived, seeking audience. They say they are from Venice and are on a long journey to reach the court of the Khan in in the far east.	Some traveling merchants from Europe have arrived, seeking audience. They say they are from Venice and are on a long journey to reach the court of the Khan in in the far east.
EVTOPTA_RoI_500	Bring them before me, I shall speak to them.	Bring them before me, I shall speak to them.
EVTOPTB_RoI_500	These people do not interest me. Send them away.	These people do not interest me. Send them away.
EVTDESC_RoI_501	The merchants turn out to be brothers, going by the names of Niccoló Polo and Matteo Polo, and Niccoló's son Marco is also traveling with them. They petition you to provide an escort or guides for travelling east through your realm.	The merchants turn out to be brothers, going by the names of Niccoló Polo and Matteo Polo, and Niccoló's son Marco is also traveling with them. They petition you to provide an escort or guides for travelling east through your realm.
EVTOPTA_RoI_501	I will provide seasoned guides.	I will provide seasoned guides.
EVTOPTB_RoI_501	I will provide seasoned guides and an armed escort.	I will provide seasoned guides and an armed escort.
EVTOPTC_RoI_501	I'm sure they they can manage on their own.	I'm sure they they can manage on their own.
EVTDESC_RoI_502	The Polo brothers thank you gratefully for your assistance. The next day they set off eastwards, strengthened by the aid you have provided.	The Polo brothers thank you gratefully for your assistance. The next day they set off eastwards, strengthened by the aid you have provided.
EVTOPTA_RoI_502	I wish them a good journey.	I wish them a good journey.
EVTDESC_RoI_503	The Polo brothers thank you for the audience. After spending the night in town, they set off again the next day.	The Polo brothers thank you for the audience. After spending the night in town, they set off again the next day.
EVTOPTA_RoI_503	What strange men.	What strange men.
EVTDESC_RoI_504	You have received an unexpected visit! The Venetian merchants Niccoló, Matteo and Marco Polo have once again arrived at your court. They explain that they reached the Far East and are now returning after a successful voyage, wanting to stop at your palace to thank you for the valuable aid you offered when they last came by. And they have brought gifts.	You have received an unexpected visit! The Venetian merchants Niccoló, Matteo and Marco Polo have once again arrived at your court. They explain that they reached the Far East and are now returning after a successful voyage, wanting to stop at your palace to thank you for the valuable aid you offered when they last came by. And they have brought gifts.
EVTOPTA_RoI_504	Come, tell me tales of the East, my friends...	Come, tell me tales of the East, my friends...
EVTDESC_RoI_3302	[From.GetFirstNameWithNick], your Court Guru, has been very keen to discuss matters of society and tradition with you lately. He expresses his views that the caste system is destructive and inhuman, and that men and women should be treated as equals. He even suggests that you become a champion of change by inviting the poor and the casteless to dine with you at your table.	[From.GetFirstNameWithNick], your Court Guru, has been very keen to discuss matters of society and tradition with you lately. He expresses his views that the caste system is destructive and inhuman, and that men and women should be treated as equals. He even suggests that you become a champion of change by inviting the poor and the casteless to dine with you at your table.
EVTOPTA_RoI_3302	What nonsense!	What nonsense!
EVTOPTB_RoI_3302	You are too wise for this age, my friend.	You are too wise for this age, my friend.
EVTTITLE_RoI_3402	Guru meditation	Guru meditation
EVTDESC_RoI_3402	In order to reach inner peace and become a stronger and more harmonious person, you have been practising meditation with your guru, [From.GetFirstNameWithNick].\n\nYou have spent many moments reaching for your inner self, focusing, breathing, finding tranquility and harmony. You contemplate yourself within the universe, the universe within yourself, and your place in time and outside time.\n\nAnd little by little, you are beginning to feel the difference.	In order to reach inner peace and become a stronger and more harmonious person, you have been practising meditation with your guru, [From.GetFirstNameWithNick].\n\nYou have spent many moments reaching for your inner self, focusing, breathing, finding tranquility and harmony. You contemplate yourself within the universe, the universe within yourself, and your place in time and outside time.\n\nAnd little by little, you are beginning to feel the difference.
EVTOPTA_RoI_3402	Om bhur bhuvah svah.	Om bhur bhuvah svah.
EVTOPTB_RoI_3402	Om mani padme hum.	Om mani padme hum.
EVTOPTC_RoI_3402	Namo arihantanam.	Namo arihantanam.
EVTOPTK96500	Master Jungle Terrain.	Master Jungle Terrain.
EVTOPTL96500	Focus on War Elephants.	Focus on War Elephants.
EVTDESC_RoI_3505	My [Root.GetLordLady], the province of [From.GetName] is in disarray. There are many reports of deep-set corruption among religious officials of the [Root.Religion.GetName] faith.	My [Root.GetLordLady], the province of [From.GetName] is in disarray. There are many reports of deep-set corruption among religious officials of the [Root.Religion.GetName] faith.
EVTOPTA_RoI_3505	This is most worrying.	This is most worrying.
EVTDESC_RoI_3509	Good news, my [Root.GetLordLady]! Thanks to the resurgence of power of the [Root.Religion.GetName] faith, the corruption in the province of [From.GetName] has been eradicated.	Good news, my [Root.GetLordLady]! Thanks to the resurgence of power of the [Root.Religion.GetName] faith, the corruption in the province of [From.GetName] has been eradicated.
EVTOPTA_RoI_3509	Excellent!	Excellent!
EVTDESC_RoI_3515	My [Root.GetLordLady], there are worrying news from the province of [From.GetName]. The [Root.Religion.GetName] faith is weakening and a strange local death cult have taken over several temples.	My [Root.GetLordLady], there are worrying news from the province of [From.GetName]. The [Root.Religion.GetName] faith is weakening and a strange local death cult have taken over several temples.
EVTOPTA_RoI_3515	This is not good.	This is not good.
EVTDESC_RoI_3519	Good news, my [Root.GetLordLady]! Thanks to the resurgence of power of the [Root.Religion.GetName] faith, the power of the local death cults in the province of [From.GetName] has been eradicated.	Good news, my [Root.GetLordLady]! Thanks to the resurgence of power of the [Root.Religion.GetName] faith, the power of the local death cults in the province of [From.GetName] has been eradicated.
EVTOPTA_RoI_3519	By [Root.Religion.GetRandomGodName], that is good news!	By [Root.Religion.GetRandomGodName], that is good news!
EVTDESC_RoI_3525	Bad news, my [Root.GetLordLady]! The people of [From.GetName] have long been losing faith in the ways of [Root.Religion.GetRandomGodName]. Now the majority of the province's population have switched to the [From.Religion.GetName] faith!	Bad news, my [Root.GetLordLady]! The people of [From.GetName] have long been losing faith in the ways of [Root.Religion.GetRandomGodName]. Now the majority of the province's population have switched to the [From.Religion.GetName] faith!
EVTOPTA_RoI_3525	Bad news indeed!	Bad news indeed!
EVTDESC_RoI_3535	My [Root.GetLordLady], the county of [From.GetName] is experiencing much turmoil due to tensions between different religious factions of the [From.Religion.GetName] faith. It has gone as far as street battles taking place between supporters of different interpretations of [From.Religion.GetScriptureName].	My [Root.GetLordLady], the province of [From.GetName] is experiencing much turmoil due to tensions between different religious factions of the [From.Religion.GetName] faith. It has gone as far as street battles taking place between supporters of different interpretations of [From.Religion.GetScriptureName].
EVTOPTA_RoI_3535	This is the work of [Root.Religion.GetRandomEvilGodName]!	This is the work of [Root.Religion.GetRandomEvilGodName]!
EVTDESC_RoI_3539	Good news, my [Root.GetLordLady]! Thanks to the resurgence of power of the [Root.Religion.GetName] faith, the religious strife in the county of [From.GetName] has ebbed out.	Good news, my [Root.GetLordLady]! Thanks to the resurgence of power of the [Root.Religion.GetName] faith, the religious strife in the province of [From.GetName] has ebbed out.
EVTOPTA_RoI_3539	Finally they see the wisdom of [Root.Religion.GetRandomGodName]!	Finally they see the wisdom of [Root.Religion.GetRandomGodName]!
temple_corruption	Temple Corruption	Temple Corruption
local_death_cult	Local Death Cult	Local Death Cult
MODIFIER_ADD_PIETY	Monthly $PIETYNAME$ gain	Monthly $PIETYNAME$ gain
MONTHLY_CHARACTER_PIETY	Monthly $PIETYNAME$	Monthly $PIETYNAME$
