#CODE	ENGLISH	ENGLISH
AIREASON_ALL_HELP_IS_APPRECIATED	All help is appreciated	All help is appreciated
EVTTOOLTIP61223	Challenge accepted!	Challenge accepted!
EVTDESC61224	[From.GetTitledName] has accepted your terms. As dawn breaks, you meet on a field just outside [Root.Location.GetName]. The mist still lies thick on the ground and the brilliance of the early morning sun is reflected in the shining steel of your weapons and armor. It is a good day to die.	[From.GetTitledName] has accepted your terms. As dawn breaks, you meet on a field just outside [Root.Location.GetName]. The mist still lies thick on the ground and the brilliance of the early morning sun is reflected in the shining steel of your weapons and armor. It is a good day to die.
EVTOPTA61224	Come then. Let us settle this.	Come then. Let us settle this.
EVTOPTB61224	He actually came? I... I am needed elsewhere.	He actually came? I... I am needed elsewhere.
EVTOPTA61225	The matter is settled.	The matter is settled.
EVTTOOLTIP61225	delivering a killing blow.	delivering a killing blow.
EVTOPTA61226	Learn from this. Do not oppose me again.	Learn from this. Do not oppose me again.
EVTTOOLTIP61226	inflicting a serious wound.	inflicting a serious wound.
EVTDESC61227	As the blackness recedes and your sight returns, you find yourself lying on your back in the tall grass. You feel the warm, sticky sensation of blood gushing from a deep wound somewhere beneath your mail. Your foe leans over you in silence, ready to deal the finishing blow, but to your shame elects to spare your wretched life.	As the blackness recedes and your sight returns, you find yourself lying on your back in the tall grass. You feel the warm, sticky sensation of blood gushing from a deep wound somewhere beneath your mail. Your foe leans over you in silence, ready to deal the finishing blow, but to your shame elects to spare your wretched life.
EVTOPTA61227	I have been robbed of a glorious death.	I have been robbed of a glorious death.
EVTTOOLTIP61227	The regent loses, is maimed.	The regent loses, is maimed.
EVTOPTA61228	There was never any doubt how this would end.	There was never any doubt how this would end.
EVTTOOLTIP61228	delivering a killing blow.	delivering a killing blow.
EVTOPTA61229	Be gone from my sight. Ye are not fit to serve the [Root.Liege.GetTitle].	Be gone from my sight. Ye are not fit to serve the [Root.Liege.GetTitle].
EVTOPTB61229	Only one of us can leave this field alive, friend. I am sorry.	Only one of us can leave this field alive, friend. I am sorry.
EVTTOOLTIP61229	inflicting a serious wound.	inflicting a serious wound.
EVTDESC61230	As the blackness recedes and your sight returns, you find yourself lying on your back in the tall grass. You feel the warm, sticky sensation of blood gushing from a deep wound somewhere under your mail. Your foe leans over you in silence, ready to deal the finishing blow, but to your shame elects to spare your wretched life.	As the blackness recedes and your sight returns, you find yourself lying on your back in the tall grass. You feel the warm, sticky sensation of blood gushing from a deep wound somewhere under your mail. Your foe leans over you in silence, ready to deal the finishing blow, but to your shame elects to spare your wretched life.
EVTOPTA61230	I have been robbed of a glorious death.	I have been robbed of a glorious death.
EVTTOOLTIP61230	spared from death.	spared from death.
EVTDESC61231	You arrive at the agreed upon location of the duel, only to find that [From.GetTitledName] is nowhere to be found. The coward dares not face you after all!	You arrive at the agreed upon location of the duel, only to find that [From.GetTitledName] is nowhere to be found. The coward dares not face you after all!
EVTOPTA61231	That worm.	That worm.
EVTTOOLTIP61231	Informed of your shameful cowardice.	Informed of your shameful cowardice.
EVTDESC61232	Your opponent plunges his sword deep into your flank, and it takes you a few confused moments to realize all that blood is coming from you. You fall to your knees as life fades away...	Your opponent plunges his sword deep into your flank, and it takes you a few confused moments to realize all that blood is coming from you. You fall to your knees as life fades away...
EVTOPTA61232	It wasn't supposed to end like this...	It wasn't supposed to end like this...
EVTTOOLTIP61232	is put out of his misery.	is put out of his misery.
EVTDESC61235	Your former regent has been bested in single combat. The duel's victor, [Root.Liege.Regent.GetTitledName], has taken his place.	Your former regent has been bested in single combat. The duel's victor, [Root.Liege.Regent.GetTitledName], has taken his place.
EVTDESC61236	Due to court intrigue well beyond your present ability to comprehend, your current serving regent has been replaced with another.	Due to court intrigue well beyond your present ability to comprehend, your current serving regent has been replaced with another.
EVTDESC61237	I should be the one to rule in my husband's stead, not [Root.Liege.Regent.GetTitledName]. It is only proper.	I should be the one to rule in my husband's stead, not [Root.Liege.Regent.GetTitledName]. It is only proper.
EVTOPTA61237	Make it so!	Make it so!
EVTDESC61238	As Queen Mother, I have decided to take over the responsibilities and duties of [Root.Liege.GetTitledFirstName]'s regency.	As Queen Mother, I have decided to take over the responsibilities and duties of [Root.Liege.GetTitledFirstName]'s regency.
EVTOPTA61238	[Root.Liege.Regent.GetTitledName], you are dismissed.	[Root.Liege.Regent.GetTitledName], you are dismissed.
EVTDESC61239	Your loving wife has decided that she would do a better job serving as your regent. After all, who but her could rule the realm in accordance with your own desires?	Your loving wife has decided that she would do a better job serving as your regent. After all, who but her could rule the realm in accordance with your own desires?
EVTOPTA61239	No one.	No one.
EVTOPTB61239	I have a wife?	I have a wife?
EVTOPTC61239	That hag!	That hag!
EVTDESC61240	The Queen Mother has used her considerable influence to step in as your regent. May the realm benefit from her wisdom and experience.	The Queen Mother has used her considerable influence to step in as your regent. May the realm benefit from her wisdom and experience.
NEW_DLC_AVAILABLE	New content is now available for purchase	New content is now available for purchase
EVTDESC1980	Women do not interest me, instead I feel drawn to other men.	Women do not interest me, instead I feel drawn to other men.
EVTDESC1990	Men do not interest me, instead I feel drawn to other women.	Men do not interest me, instead I feel drawn to other women.
EVTDESC20292	My liege,\nI write to you with shocking news! [FromFrom.GetTitledName] tried to have me assassinated to make sure I wouldn't discover [FromFrom.GetHerHis] plot to [FromFrom.GetPlot].\n\nYour humble Spymaster,\n[From.GetTitledName]	My liege,\nI write to you with shocking news! [FromFrom.GetTitledName] tried to have me assassinated to make sure I wouldn't discover [FromFrom.GetHerHis] plot to [FromFrom.GetPlot].\n\nYour humble Spymaster,\n[From.GetTitledName]
EVTOPTB8118	Actually, going to war was not my plan...	Actually, going to war was not my plan...
WAR_NAME_CLAIM_VASSAL	$ATTACKER$'s $ORDER$War to Revoke $OTHER_TITLE$	$ATTACKER$'s $ORDER$War to Revoke $OTHER_TITLE$
#EVTDESC100000	The cook accused me of stealing cookies, the spymaster insisted I had stolen his quill and I was accused of making a lot of mischief. For once, I was innocent. I found the perpetrator playing with the quill and stuffing his face with cookies just outside the stable...	The cook accused me of stealing cookies, the spymaster insisted I had stolen his quill and I was accused of making a lot of mischief. For once, I was innocent. I found the perpetrator playing with the quill and stuffing his face with cookies just outside the stable...
EVTOPTA100000	Tell them who stole the cookies and the quill!	Tell them you stole the cookies and the quill!
EVTTOOLTIP100001	[Root.GetTitledFirstName] and [This.GetTitledFirstName] becomes rivals	[Root.GetTitledFirstName] and [This.GetTitledFirstName] becomes rivals
EVTOPTB100000	Let us wreak havoc together!	Let us wreak havoc together!
EVTTOOLTIP100002	[Root.GetTitledFirstName] and [This.GetTitledFirstName] mischievous planning makes them friends	[Root.GetTitledFirstName] and [This.GetTitledFirstName] mischievous planning makes them friends
EVTDESC100001	I had watched the cook scold [From.GetFirstName] and the spymaster try to bribe [From.GetHerHim] to give back his quill to no avail - I held the bluish, precious quill in my right hand and a cookie in my left. While playing with it and eating cookies I did not notice [From.GetFirstName] sneak up on me and snatch the quill from my hands.	I had watched the cook scold [From.GetFirstName] and the spymaster try to bribe [From.GetHerHim] to give back his quill to no avail - I held the bluish, precious quill in my right hand and a cookie in my left. While playing with it and eating cookies I did not notice [From.GetFirstName] sneak up on me and snatch the quill from my hands.
EVTOPTA100001	Hey! Give that back, that's mine now!	Hey! Give that back, that's mine now!
opinion_rival	Rival	Rival
EVTDESC100002	I thought [From.GetFirstName] would tell the cook it was I who had stolen the cookies and make me give the quill back to the spymaster. [From.GetFirstName] surprised me when [From.GetSheHe] instead asked me how I managed to steal the quill right under the spymaster's nose and wanted my help to get back at the cook for scolding [From.GetHerHim].	I thought [From.GetFirstName] would tell the cook it was I who had stolen the cookies and make me give the quill back to the spymaster. [From.GetFirstName] surprised me when [From.GetSheHe] instead asked me how I managed to steal the quill right under the spymaster's nose and wanted my help to get back at the cook for scolding [From.GetHerHim].
EVTOPTA100002	I could do that!	I could do that!
#EVTDESC100005	Whenever we play, me in the middle most times, there's one child who instead of joining us laughing as loud and as much as we do goes away to read under the shadow of a tree or near the flaming fireplace. Why read dusty, boring old books when you could play knights and ladies or catch frogs in the pond?	Whenever we play, me in the middle most times, there's one child who instead of joining us laughing as loud and as much as we do goes away to read under the shadow of a tree or near the flaming fireplace. Why read dusty, boring old books when you could play knights and ladies or catch frogs in the pond?
EVTOPTA100005	Tease the shy child	Tease the shy child
EVTTOOLTIP100006	[This.GetFirstName] is teased by [Root.GetFirstName]	[This.GetFirstName] is teased by [Root.GetFirstName]
EVTOPTB100005	I ask if the child would like to borrow my toy sword	I ask if the child would like to borrow my toy sword
EVTTOOLTIP100007	[Root.GetFirstName] talks to [This.GetFirstName]	[Root.GetFirstName] talks to [This.GetFirstName]
EVTOPTC100005	Leave the child alone	Leave the child alone
EVTDESC100006	I was reading under the big tree, listening to the other children's laughter and screams, not noticing [From.GetFirstName] until [From.GetSheHe] stood before me and grabbed the book, flinging it away.\n\n'So, nose-in-books, what are you going to about it?'	I was reading under the big tree, listening to the other children's laughter and screams, not noticing [From.GetFirstName] until [From.GetSheHe] stood before me and grabbed the book, flinging it away.\n\n'So, nose-in-books, what are you going to about it?'
EVTOPTA100006	You will hurt so much your grandchildren will be born crying!	You will hurt so much your grandchildren will be born crying!
EVTTOOLTIP100008	[Root.GetFirstName] punches [This.GetFirstName]	[Root.GetFirstName] punches [This.GetFirstName]
EVTOPTB100006	N-nothing...	N-nothing...
EVTDESC100007	I was enjoying my latest find in the library, listening to the other children's laughter to make sure they wouldn't show up and drop another frog down my shirt or on the fragile pages of the book when [From.GetFirstName] sneaked up on me, asked me a bunch of questions about the book and then offered to let me borrow [From.GetHerHis] toy sword.	I was enjoying my latest find in the library, listening to the other children's laughter to make sure they wouldn't show up and drop another frog down my shirt or on the fragile pages of the book when [From.GetFirstName] sneaked up on me, asked me a bunch of questions about the book and then offered to let me borrow [From.GetHerHis] toy sword.
EVTOPTA100007	I'd love to!	I'd love to!
EVTTOOLTIP100012	[Root.GetTitledFirstName] and [This.GetTitledFirstName] plays together and becomes friends	[Root.GetTitledFirstName] and [This.GetTitledFirstName] plays together and becomes friends
EVTOPTB100007	I'm afraid of swords...	I'm afraid of swords...
EVTDESC100008	I did not even see [From.GetFirstName] throw the punch that made me fall head-first into the mud puddle!	I did not even see [From.GetFirstName] throw the punch that made me fall head-first into the mud puddle!
EVTOPTA100008	I'm gonna kill you!	I'm gonna kill you!
EVTTOOLTIP100010	The teased [This.GetFirstName] and [Root.GetFirstName] becomes fierce rivals	The teased [This.GetFirstName] and [Root.GetFirstName] becomes fierce rivals
EVTOPTB100008	Woah, that was a fantastic punch! Show me how you did that!	Woah, that was a fantastic punch! Show me how you did that!
EVTTOOLTIP100009	[This.GetFirstName] and [Root.GetFirstName] becomes friends	[This.GetFirstName] and [Root.GetFirstName] becomes friends
EVTDESC100009	I watched nervously as [From.GetFirstName] slowly got up from the mud puddle [From.GetSheHe] fell into when I punched [From.GetHerHim], ready to run away if [From.GetFirstName] would want revenge. [From.GetSheHeCap] did not even try to grab me, [From.GetFirstName] apologised for throwing my book away and asked if I could show [From.GetHerHim] how to punch like that.	I watched nervously as [From.GetFirstName] slowly got up from the mud puddle [From.GetSheHe] fell into when I punched [From.GetHerHim], ready to run away if [From.GetFirstName] would want revenge. [From.GetSheHeCap] did not even try to grab me, [From.GetFirstName] apologised for throwing my book away and asked if I could show [From.GetHerHim] how to punch like that.
EVTOPTA100009	Promise you are not angry?	Promise you are not angry?
EVTDESC100010	I had barely time to pick up the book and then run for my life when [From.GetFirstName] roared like a mad bull and came charging after me, face full of mud and seeking revenge for me punching [From.GetHerHim]. I fled and hid in the kitchen, only to hear [From.GetFirstName] swear [From.GetSheHe] would get [From.GetHerHis] revenge on me, if it would take [From.GetHerHis] whole life so be it so.	I had barely time to pick up the book and then run for my life when [From.GetFirstName] roared like a mad bull and came charging after me, face full of mud and seeking revenge for me punching [From.GetHerHim]. I fled and hid in the kitchen, only to hear [From.GetFirstName] swear [From.GetSheHe] would get [From.GetHerHis] revenge on me, if it would take [From.GetHerHis] whole life so be it so.
EVTOPTA100010	We will never be friends now...	We will never be friends now...
EVTDESC100015	Once again, [Root.Guardian.GetTitledFirstName] found out that I tried to dodge my chores but before I broke down and admitted I had done just that, someone else took the blame for it.	Once again, [Root.Guardian.GetTitledFirstName] found out that I tried to dodge my chores but before I broke down and admitted I had done just that, someone else took the blame for it.
EVTOPTA100015	Thank him profusely when out of earshot	Thank him profusely when out of earshot
EVTTOOLTIPA100016	[This.GetFirstName] is glad to help a friend	[This.GetFirstName] is glad to help a friend
EVTOPTB100015	Why did you interfere? I had it under control!	Why did you interfere? I had it under control!
EVTTOOLTIPB100016	[This.GetFirstName] just wanted to help	[This.GetFirstName] just wanted to help
EVTOPTC100015	Tell your guardian [Root.Guardian.GetTitledFirstName] the truth	Tell your guardian [Root.Guardian.GetTitledFirstName] the truth
EVTDESC100016	[From.GetFirstName] was in trouble, again. [Root.Guardian.GetTitledFirstName] was scolding [From.GetFirstName] about [From.GetHerHis] slothfulness and failure to do [From.GetHerHis] chores. I interfered and made it sound as if it was my fault [From.GetFirstName] hadn't been able to do [From.GetHerHis] chores...	[From.GetFirstName] was in trouble, again. [Root.Guardian.GetTitledFirstName] was scolding [From.GetFirstName] about [From.GetHerHis] slothfulness and failure to do [From.GetHerHis] chores. I interfered and made it sound as if it was my fault [From.GetFirstName] hadn't been able to do [From.GetHerHis] chores...
EVTOPTA100016	[From.GetFirstName] thanked me profusely and we became fast friends	[From.GetFirstName] thanked me profusely and we became fast friends
EVTOPTB100016	[From.GetFirstName] made it clear [From.GetSheHe] did not want my help	[From.GetFirstName] made it clear [From.GetSheHe] did not want my help
EVTTOOLTIP100017	Then [This.GetFirstName] won't care if I tell [Root.Guardian.GetTitledFirstName] the truth	Then [This.GetFirstName] won't care if I tell [Root.Guardian.GetTitledFirstName] the truth
EVTOPTC100016	Next time, I won't help [From.GetFirstName]	Next time, I won't help [From.GetFirstName]
EVTOPTD100016	I learnt my lesson: never help someone in need...	I learnt my lesson: never help someone in need...
EVTDESC100017	Ever since [From.GetFirstName] tried to save me from getting scolded by [Root.Guardian.GetTitledFirstName] for not doing my chores and me refusing to thank [From.GetHerHim] for it, [From.GetFirstName] has been a regular thorn in my side. I believe [From.GetSheHe] is determined to make me [From.GetHerHis] rival.	Ever since [From.GetFirstName] tried to save me from getting scolded by [Root.Guardian.GetTitledFirstName] for not doing my chores and me refusing to thank [From.GetHerHim] for it, [From.GetFirstName] has been a regular thorn in my side. I believe [From.GetSheHe] is determined to make me [From.GetHerHis] rival.
EVTOPTA100017	If that's what [From.GetSheHe] wants, then so be it!	If that's what [From.GetSheHe] wants, then so be it!
EVTDESC100020	I watched and winced in sympathy as yet another lady rejected the poor man. It was clear to me that he lacked even the ability to talk to women but why he persisted I could not understand. Never had I had the same problem, maybe it was time for me to take a student?	I watched and winched in symphathy as yet another lady rejected the poor man. It was clear to me that he lacked even the ability to talk to women but why he persisted I could not understand. Never had I had the same problem, maybe it was time for me to take a student?
EVTOPTA100020	I should offer him help	I should offer him help
EVTTOOLTIP100021	[Root.GetFirstName] offers to help [This.GetFirstName]	[Root.GetFirstName] offers to help [This.GetFirstName]
EVTOPTB100020	I fear the competition...	I fear the competition...
EVTDESC100021	I have never had any luck with women, no matter what subject I try to talk about they just seem to leave as soon as I utters the first word. [From.GetFirstName] interrupted my self-loathing thoughts and offered to help me charm or at least be able to talk to women without them leaving in the middle of a sentence.	I have never had any luck with women, no matter what subject I try to talk about they just seem to leave as soon as I utters the first word. [From.GetFirstName] interrupted my self-loathing thoughts and offered to help me charm or at least be able to talk to women without them leaving in the middle of a sentence.
EVTOPTA100021	Of course I accept [From.GetHerHis] help!	Of course I accept [From.GetHerHis] help!
EVTTOOLTIP100022	[Root.GetFirstName] accepted [This.GetTitledFirstName] offer to help	[Root.GetFirstName] accepted [This.GetTitledFirstName] offer to help
EVTOPTB100021	I can do it on my own!	I can do it on my own!
EVTTOOLTIP100023	[Root.GetTitledFirstName] rejected [This.GetTitledFirstName] offer to help	[Root.GetTitledFirstName] rejected [This.GetTitledFirstName] offer to help
EVTOPTC100021	I am happy as I am, thank you!	I am happy as I am, thank you!
EVTDESC100022	[From.GetFirstName] was willing to learn but had no idea how [From.GetFirstName] should talk to women or what subject would interest them. We started small, I let [From.GetHerHim] talk to the cook who were more than happy to talk about her cooking. Then it got harder and harder until [From.GetFirstName] finally was able to talk to every woman in the castle and charm her nearly as well as I can.	[From.GetFirstName] was willing to learn but had no idea how [From.GetFirstName] should talk to women or what subject would interest them. We started small, I let [From.GetHerHim] talk to the cook who were more than happy to talk about her cooking. Then it got harder and harder until [From.GetFirstName] finally was able to talk to every woman in the castle and charm her nearly as well as I can.
EVTOPTA100022	During that time, we became friends	During that time, we became friends
EVTDESC100023	I had honestly thought [From.GetFirstName] would enthusiastically accept my help or at least show some interest in learning some of what I knew about women and how to charm them.	I had honestly thought [From.GetFirstName] would enthusiastically accept my help or at least show some interest in learning some of what I knew about women and how to charm them.
EVTOPTA100023	[From.GetFirstName] rejected my offer brusquely	[From.GetFirstName] rejected my offer brusquely
EVTOPTB100023	[From.GetFirstName] politely told me [From.GetSheHe] needed no help	[From.GetFirstName] politely told me [From.GetSheHe] needed no help
EVTDESC100025	Charming, pleasant and amusing is not words people would describe me with, but the man talking to the small group of women is all that and perhaps more. I wish I could be as charming and be able to talk to women without stuttering or inadvertently insulting them...	Charming, pleasant and amusing is not words people would describe me with, but the man talking to the small group of women is all that and perhaps more. I wish I could be as charming and be able to talk to women without stuttering or inadvertently insulting them...
EVTOPTA100025	Will he help me if I ask nicely?	Will he help me if I ask nicely?
EVTTOOLTIP100026	is asked by [Root.GetTitledFirstName] to help [Root.GetHerHim] conquer [Root.GetHerHis] fear of women	is asked by [Root.GetTitledFirstName] to help [Root.GetHerHim] conquer [Root.GetHerHis] fear of women
EVTOPTB100025	He can have whatever he wants if only he helps me!	He can have whatever he wants if only he helps me!
EVTTOOLTIP100030	is bribed by [Root.GetTitledFirstName] to help [Root.GetHerHim] conquer [Root.GetHerHis] fear of women	is bribed by [Root.GetTitledFirstName] to help [Root.GetHerHim] conquer [Root.GetHerHis] fear of women
EVTOPTC100025	Forget it, I'm a nobody and women knows it	Forget it, I'm a nobody and women knows it
EVTDESC100026	At first I found it unsettling that [From.GetFirstName] asked me to help [From.GetHerHim] conquer [From.GetHerHis] shyness and teach [From.GetHerHim] to be able to at least talk to a woman without unintentionally insulting her. [From.GetFirstName] said [From.GetSheHe] wanted be as charming and pleasant as I am.	At first I found it unsettling that [From.GetFirstName] asked me to help [From.GetHerHim] conquer [From.GetHerHis] shyness and teach [From.GetHerHim] to be able to at least talk to a woman without unintentionally insulting her. [From.GetFirstName] said [From.GetSheHe] wanted be as charming and pleasant as I am.
EVTOPTA100026	I'll help you, but it's gonna cost you	I'll help you, but it's gonna cost you
EVTTOOLTIP100027	[Root.GetTitledFirstName] agrees to help [This.GetTitledFirstName], but for a prize...	[Root.GetTitledFirstName] agrees to help [This.GetTitledFirstName], but for a prize...
EVTOPTB100026	I would be glad to!	I would be glad to!
EVTTOOLTIP100028	Under [Root.GetTitledFirstName] watchful eye, [This.GetTitledFirstName] learns how to talk to women	Under [Root.GetTitledFirstName] watchful eye, [This.GetTitledFirstName] learns how to talk to women
EVTDESC38303	I have gone so long without craving the touch of another human, but now I have grown wiser. I have lost the §YChaste§! trait.	I have gone so long without craving the touch of another human, but now I have grown wiser. I have lost the Chaste trait.
EVTOPTC100026	As if I would want someone to compete with me about women's hearts!	As if I would want someone to compete with me about women's hearts!
EVTTOOLTIP100029	The rivalry between [Root.GetTitledFirstName] and [This.GetTitledFirstName] reveals itself	The rivalry between [Root.GetTitledFirstName] and [This.GetTitledFirstName] reveals itself
EVTDESC100027	[From.GetFirstName] listened thoughtfully when I asked [From.GetHerHim] to help me get over my shyness and learn how to charm or at least talk to a woman! I looked at [From.GetHerHim] pleadingly and after hesitating at first [From.GetFirstName] agreed to help me, for a small sum of money.	[From.GetFirstName] listened thoughtfully when I asked [From.GetHerHim] to help me get over my shyness and learn how to charm or at least talk to a woman! I looked at [From.GetHerHim] pleadingly and after hesitating at first [From.GetFirstName] agreed to help me, for a small sum of money.
EVTOPTA100027	Yes! Of course! Here you go...	Yes! Of course! Here you go...
EVTOPTB100027	No, I don't think so...	No, I don't think so...
EVTDESC100028	I was willing to learn but I could decipher from [From.GetFirstName] sighs that [From.GetSheHe] thought that I was almost unteachable. No matter who I talked to I made a fool out of myself until [From.GetFirstName] made me talk to the cook who were more than happy to talk about her cooking. From on then it got easier until I finally was able to talk to every woman in the castle and charm them nearly as well as [From.GetFirstName].	I was willing to learn but I could decipher from [From.GetFirstName] sighs that [From.GetSheHe] thought that I was almost unteachable. No matter who I talked to I made a fool out of myself until [From.GetFirstName] made me talk to the cook who were more than happy to talk about her cooking. From on then it got easier until I finally was able to talk to every woman in the castle and charm them nearly as well as [From.GetFirstName].
EVTOPTA100028	[From.GetFirstName] is a true friend!	[From.GetFirstName] is a true friend!
EVTDESC100029	No matter what I said, promised or did, [From.GetFirstName] refused to help me with my problem, being unable to to talk to women. [From.GetSheHeCap] even told me it was because I '...would ruin [From.GetHerHis] chances with women...' But all I asked about was to be able to have a conversation...	No matter what I said, promised or did, [From.GetFirstName] refused to help me with my problem, being unable to to talk to women. [From.GetSheHeCap] even told me it was because I '...would ruin [From.GetHerHis] chances with women...' But all I asked about was to be able to have a conversation...
EVTOPTA100029	This means WAR! Nah, we're just rivals...	This means WAR! Nah, we're just rivals...
EVTDESC100030	[From.GetFirstName] promised me a lot of gold if only I could help [From.GetHerHim] conquer [From.GetHerHis] shyness and teach [From.GetHerHim] to charm and talk to women without unintentionally insulting them.	[From.GetFirstName] promised me a lot of gold if only I could help [From.GetHerHim] conquer [From.GetHerHis] shyness and teach [From.GetHerHim] to charm and talk to women without unintentionally insulting them.
EVTOPTB100030	I'll take your gold, you'll lose your pride	I'll take your gold, you'll lose your pride
EVTTOOLTIP100031	[Root.GetTitledFirstName] helps [This.GetTitledFirstName]	[Root.GetTitledFirstName] helps [This.GetTitledFirstName]
EVTOPTC100030	I'll help you with this if you can help me with that	I'll help you with this if you can help me with that
EVTDESC100031	After the money had exchanged hands, [From.GetFirstName] became almost merciless in correcting and teaching me how I should talk to women, what subjects might interest them and how I could stand, sit or smile at them in different ways to get them relaxed or interested. A whole new world opened up before my eyes.	After the money had exchanged hands, [From.GetFirstName] became almost merciless in correcting and teaching me how I should talk to women, what subjects might interest them and how I could stand, sit or smile at them in different ways to get them relaxed or interested. A whole new world opened up before my eyes.
EVTOPTA100031	...and now I can talk to women!	...and now I can talk to women!
EVTDESC100035	I was playing with my doll by myself, trying to remember a song to sing to my poppet when I saw a girl my age look at my beautiful doll with longing in her eyes...	I was playing with my doll by myself, trying to remember a song to sing to my poppet when I saw a girl my age look at my beautiful doll with longing in her eyes...
EVTOPTA100035	Do you want to play with her?	Do you want to play with her?
EVTTOOLTIP100036	[Root.GetTitledFirstName] tries to befriend [This.GetTitledFirstName]	[Root.GetTitledFirstName] tries to befriend [This.GetTitledFirstName]
EVTOPTB100035	You're no fun, go away!	You're no fun, go away!
EVTTOOLTIP100037	[Root.GetTitledFirstName] becomes [This.GetTitledFirstName] rival	[Root.GetTitledFirstName] becomes [This.GetTitledFirstName] rival
EVTDESC100036	[From.GetFirstName] was playing with [From.GetHerHis] doll by the pond. It was beautiful with long, braided hair, buttons for eyes and even a dress made of grass. I wanted the doll so much I asked [From.GetFirstName] if I could play with her...	[From.GetFirstName] was playing with [From.GetHerHis] doll by the pond. It was beautiful with long, braided hair, buttons for eyes and even a dress made of grass. I wanted the doll so much I asked [From.GetFirstName] if I could play with her...
EVTOPTA100036	We played for so long, we almost forgot supper!	We played for so long, we almost forgot supper!
EVTTOOLTIP100038	[Root.GetTitledFirstName] and [This.GetTitledFirstName] becomes friends	[Root.GetTitledFirstName] and [This.GetTitledFirstName] becomes friends
EVTOPTB100036	...then I grabbed the doll and ran!	...then I grabbed the doll and ran!
EVTTOOLTIP100039	[Root.GetTitledFirstName] stole [Root.GetTitledFirstName]'s doll, making them rivals	[Root.GetTitledFirstName] stole [Root.GetTitledFirstName]'s doll, making them rivals
EVTDESC100037	I just wanted to play with [From.GetFirstName]'s beautiful doll, but when I asked [From.GetHerHim] if I could just hold the doll [From.GetSheHe] screamed at me to go away and threatened to tell my parents I had hit [From.GetHerHim] if I didn't!	I just wanted to play with [From.GetFirstName]'s beautiful doll, but when I asked [From.GetHerHim] if I could just hold the doll [From.GetSheHe] screamed at me to go away and threatened to tell my parents I had hit [From.GetHerHim] if I didn't!
EVTOPTA100037	[From.GetFirstName] will never be my friend!	[From.GetFirstName] will never be my friend!
EVTDESC100038	I didn't like how [From.GetFirstName] looked at my doll but when [From.GetSheHe] told me how beautiful my doll was I forgave [From.GetFirstName] at once. We played together for so long, we almost missed supper!	I didn't like how [From.GetFirstName] looked at my doll but when [From.GetSheHe] told me how beautiful my doll was I forgave [From.GetFirstName] at once. We played together for so long, we almost missed supper!
EVTOPTA100038	We will play again tomorrow!	We will play again tomorrow!
EVTDESC100039	I hugged my doll and then gave her to [From.GetFirstName], who grabbed her and ran away! I tried following [From.GetHerHim], crying the whole time for my doll but [From.GetFirstName] got away!	I hugged my doll and then gave her to [From.GetFirstName], who grabbed her and ran away! I tried following [From.GetHerHim], crying the whole time for my doll but [From.GetFirstName] got away!
EVTOPTA100039	Give my doll back! I hate you [From.GetFirstName], so much!	Give my doll back! I hate you [From.GetFirstName], so much!
EVTDESC100040	There's a girl at court that is very flirtatious and knows how to play on people's feelings to get what she wants, when she wants it. She is more brave than any other girl I ever met and I envy her sometimes, to be as courageous as she is would be wonderful...	There's a girl at court that is very flirtatious and knows how to play on people's feelings to get what she wants, when she wants it. She is more brave than any other girl I ever met and I envy her sometimes, to be as courageous as she is would be wonderful...
EVTOPTA100040	Could she find it in her heart to help me?	Could she find it in her heart to help me?
EVTTOOLTIP100041	[Root.GetTitledFirstName] asks [This.GetTitledFirstName] to help [Root.GetHerHim] become courageous	[Root.GetTitledFirstName] asks [This.GetTitledFirstName] to help [Root.GetHerHim] become courageous
EVTOPTB100040	She's a trollop!	She's a trollop!
EVTTOOLTIP100042	[Root.GetTitledFirstName] shouldn't have called [This.GetTitledFirstName] a trollop	[Root.GetTitledFirstName] shouldn't have called [This.GetTitledFirstName] a trollop
EVTOPTC100040	How I envy her...	How I envy her...
EVTDESC100041	I was kind of flirting with the cute stable boy when [From.GetFirstName] asked me to come help [From.GetHerHim] with something. Thinking it was yet another boring task I couldn't flirt my way out of, I reluctantly followed [From.GetFirstName]. It did surprise me when [From.GetSheHe] asked, no begged me to help [From.GetHerHim] become as courageous as I am.	I was kind of flirting with the cute stable boy when [From.GetFirstName] asked me to come help [From.GetHerHim] with something. Thinking it was yet another boring task I couldn't flirt my way out of, I reluctantly followed [From.GetFirstName]. It did surprise me when [From.GetSheHe] asked, no begged me to help [From.GetHerHim] become as courageous as I am.
EVTOPTA100041	I would be my pleasure!	I would be my pleasure!
EVTTOOLTIP100043	[Root.GetTitledFirstName] finds a friend in [This.GetTitledFirstName]	[Root.GetTitledFirstName] finds a friend in [This.GetTitledFirstName]
EVTOPTB100041	This court is not big enough for both of us!	This court is not big enough for both of us!
EVTTOOLTIP100044	[Root.GetTitledFirstName] refusal makes [This.GetTitledFirstName] [Root.GetHerHis] rival	[Root.GetTitledFirstName] refusal makes [This.GetTitledFirstName] [Root.GetHerHis] rival
EVTOPTC100041	I don't have time for this!	I don't have time for this!
