#CODE	ENGLISH
haughty	Haughty
EVTOPTA_ZE_14300	How hard can it be?
EVTOPTB_ZE_14300	A coin saved is a coin earned.
EVTOPTC_ZE_14300	Accumulate! Accumulate!
EVTOPTD_ZE_14300	Wealth is the slave of a wise man, and the master of a fool.
EVTDESCA_ZE_14310	Young [From.GetFirstName] has finished [From.GetHerHis] education in stewardship. It turned out less well than expected.
EVTDESCB_ZE_14310	Young [From.GetFirstName] has finished [From.GetHerHis] education in stewardship. It seems [From.GetSheHe] has learned all the basic skills required.
EVTDESCC_ZE_14310	Young [From.GetFirstName] has finished [From.GetHerHis] education in stewardship. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.
EVTDESCD_ZE_14310	Young [From.GetFirstName] has finished [From.GetHerHis] education in stewardship. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.
EVTDESCA_ZE_14400	I have finished my education in the ways of intrigue. I found the lessons rather tedious.
EVTDESCB_ZE_14400	I have finished my education in the ways of intrigue. It is a fascinating subject.
EVTDESCC_ZE_14400	I have finished my education in the ways of intrigue. I find that I have some talent for it.
EVTDESCD_ZE_14400	I have finished my education in the ways of intrigue. I feel that I have truly found my calling.
EVTOPTA_ZE_14400	Intrigue must be conducted with honor.
EVTOPTB_ZE_14400	Never interrupt your enemy when [Root.GetSheHe] is making a mistake.
EVTOPTC_ZE_14400	To subdue the enemy without fighting is supreme.
EVTOPTD_ZE_14400	Events which can not be prevented must be directed.
EVTDESCA_ZE_14410	Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of intrigue. It turned out less well than expected.
EVTDESCB_ZE_14410	Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of intrigue. It seems [From.GetSheHe] has learned all the basic skills required.
EVTDESCC_ZE_14410	Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of intrigue. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.
EVTDESCD_ZE_14410	Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of intrigue. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.
EVTDESCA_ZE_14500	I have finished my education in the ways of faith and learning. I found the lessons rather tedious.
EVTDESCB_ZE_14500	I have finished my education in the ways of faith and learning. It is a fascinating subject.
EVTDESCC_ZE_14500	I have finished my education in the ways of faith and learning. I find that I have some talent for it.
EVTDESCD_ZE_14500	I have finished my education in the ways of faith and learning. I feel that I have truly found my calling.
EVTOPTA_ZE_14500	Learning is dull but important.
EVTOPTB_ZE_14500	The world is a book.
EVTOPTC_ZE_14500	Learning never exhausts the mind.
EVTOPTD_ZE_14500	A room without books is like a body without a soul.
EVTDESCA_ZE_14510	Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of faith and learning. It turned out less well than expected.
EVTDESCB_ZE_14510	Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of faith and learning. It seems [From.GetSheHe] has learned all the basic skills required.
EVTDESCC_ZE_14510	Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of faith and learning. It is evident that [From.GetSheHe] has excelled in [From.GetHerHis] studies.
EVTDESCD_ZE_14510	Young [From.GetFirstName] has finished [From.GetHerHis] education in the ways of faith and learning. I notice with pride that [From.GetSheHe] has attained nothing less than a masterful level of knowledge.
mysterious_charm	Mysterious Charm
mysterious_charm_desc	This character doesn't talk much, but there is something interesting about them...
EVTDESCA_ZE_12010	I have seen [affectionate_events_char_1.GetFirstName] looking at my new wooden toy animals.
EVTDESCB_ZE_12010	My nannies are away and as I roam around the grounds I come upon [affectionate_events_char_1.GetTitledFirstName]. [affectionate_events_char_1.GetSheHeCap] looks up and seems interested in conversation.
EVTDESCC_ZE_12010	As I am out playing by myself and taking a break to eat some bread I brought from the kitchens, I suddenly notice a young peasant child staring at me. [Root.GetSheHeCap] looks hungry.
EVTOPTA_ZE_12010	I could let [affectionate_events_char_1.GetHerHim] play with them.
EVTOPTB_ZE_12010	Yes, I have nicer toys than [affectionate_events_char_1.GetHerHim].
EVTOPTC_ZE_12010	I'll talk to [affectionate_events_char_1.GetHerHim]!
EVTOPTD_ZE_12010	I'll stick my tongue out at [affectionate_events_char_1.GetHerHim] and run away!
EVTOPTE_ZE_12010	I'll share my bread with [Root.GetHerHim]!
EVTOPTF_ZE_12010	I'll leave before [Root.GetSheHe] tries to steal from me!
EVTOPTE_ZE_12010_TOOLTIP1	You do a good deed.
EVTOPTE_ZE_12010_TOOLTIP2	You do a good deed, but someone sees you...
EVTDESCA_ZE_12012	[From.GetFirstName] has much nicer toys than me, and [From.GetSheHe] asked me if I want to play with them.
EVTDESCB_ZE_12012	[From.GetFirstName] has really nice toys but [From.GetSheHe] won't share them with me.
EVTDESCC_ZE_12012	Young [From.GetTitledFirstName] just walked up to me today, striking up conversation. We ended up having a long talk, about a great many things.
EVTDESCD_ZE_12012	Young [From.GetTitledFirstName] just walked up to me today, and as I was about to greet [From.GetHerHim], [From.GetSheHe] just stuck [From.GetHerHis] tongue out and ran away...
EVTOPTA_ZE_12012	Yes, that would be nice!
EVTOPTB_ZE_12012	No, those toys are silly anyway!
EVTOPTC_ZE_12012	I hate [From.GetHerHim]!
EVTOPTD_ZE_12012	How nice!
EVTOPTE_ZE_12012	Begone, [GetRootFromInsult]!
EVTOPTF_ZE_12012	What a strange child.
EVTDESCA_ZE_12014	[From.GetFirstName] and me played all day with my toys.
EVTDESCB_ZE_12014	I talked for a long while with [From.GetTitledFirstName]. [From.GetSheHeCap] had many funny things to tell me and we had a really good time.
EVTDESCC_ZE_12014	You shared your bread with the peasant child, and then you played together for several hours before parting ways. [Root.GetSheHeCap] waved happily as [Root.GetSheHe] ran home.
EVTDESCD_ZE_12014	You shared your bread with the child and then you played together for a while, until your nannies came and angrily interrupted you. As your friend ran away, the nannies said they'd tell [Educator.GetTitledFirstName] that you had been bad.
EVTOPTA_ZE_12014	It's so nice to share with others!
EVTOPTB_ZE_12014	Let's play again soon!
EVTOPTC_ZE_12014	I want more friends like this!
EVTOPTD_ZE_12014	I'll come see you again tomorrow!
EVTOPTE_ZE_12014	This was fun!
EVTOPTF_ZE_12014	But [Root.GetSheHe] is my friend!
EVTDESCA_ZE_12016	[From.GetFirstName] let me play with [From.GetHerHis] toys all day and it was so much fun.
EVTDESCB_ZE_12016	I spoke at length with [From.GetFirstName] about a great many things. We laughed a lot, and it seems I have made a new friend.
EVTOPTA_ZE_12016	Let's play again sometime!
EVTOPTB_ZE_12016	What a nice child!
EVTDESCA_ZE_12020	I saw [timid_events_char_1.GetTitledFirstName] being chided publicly for stealing food from the personal stores of the [Root.Liege.GetTitle], but I know [timid_events_char_1.GetSheHe] was elsewhere at the time.
EVTDESCB_ZE_12020	[timid_events_char_1.GetFirstName] seems very nice. Maybe I should ask if [timid_events_char_1.GetSheHe] wants to play?
EVTDESCC_ZE_12020	There's a big dinner feast tonight with many prominent people invited, and it has been decided that I shall perform a song in praise of [Root.Religion.GetRandomGodName] for the guests.
EVTOPTA_ZE_12020	No one would listen to me anyway...
EVTOPTB_ZE_12020	I must speak up for [timid_events_char_1.GetHerHim]!
EVTOPTC_ZE_12020	I'll wait a little, [timid_events_char_1.GetSheHe] could come to me...
EVTOPTD_ZE_12020	Yes, we should play!
EVTOPTE_ZE_12020	No way!
EVTOPTF_ZE_12020	Yes, I will sing.
EVTOPTE_ZE_12020_TOOLTIP1	Guests are amused.
EVTOPTE_ZE_12020_TOOLTIP2	Guests are offended.
EVTDESCA_ZE_12022	I was wrongfully accused of stealing fine foods from the personal stores of the [Root.Liege.GetTitle]. I also know that young [From.GetFirstName] can confirm I was elsewhere when it happened, but [From.GetSheHe] has refused to step forward and confirm my innocence.
EVTDESCB_ZE_12022	I was strangely and wrongfully accused of stealing fine foods from the personal stores of the [Root.Liege.GetTitle]. However, young [From.GetFirstName] stepped forward to confirm that I was elsewhere at the time and so the suspicions against me were lifted.
EVTDESCC_ZE_12022	[From.GetFirstName] seems to be checking me out, but doesn't come over and talk.
EVTDESCD_ZE_12022	[From.GetFirstName] came over to me and said [From.GetSheHe] wanted us to be friends!
EVTOPTA_ZE_12022	The little wretch!
EVTOPTB_ZE_12022	Alas, I cannot blame the child for being timid.
EVTOPTC_ZE_12022	All is good then!
EVTOPTD_ZE_12022	I'll go and talk to [From.GetHerHim]!
EVTOPTE_ZE_12022	What's [From.GetSheHe] staring at? It's annoying!
EVTOPTF_ZE_12022	How nice!
EVTDESCA_ZE_12024	[From.GetTitledFirstName] is very angry with me for not speaking up in [From.GetHerHis] defence.
EVTDESCB_ZE_12024	[From.GetFirstName] came over and talked to me, asking if I wanted to be friends.
EVTDESCC_ZE_12024	A roar of laughter rolled through the hall when the guests were told that I had hid in a chest in order to avoid having to sing for them. Several of them then called me over and offered me food and candies.
EVTDESCD_ZE_12024	The guests were all very offended at my refusal to sing for them.
EVTOPTA_ZE_12024	What? It's not my problem!
EVTOPTB_ZE_12024	I should step forward now, it's not too late!
EVTOPTC_ZE_12024	Umm... no, I have to go.
EVTOPTD_ZE_12024	Yes, let's play!
EVTOPTE_ZE_12024	Oh yes!
EVTOPTF_ZE_12024	I don't care.
EVTDESCA_ZE_12026	Since [From.GetFirstName] refused to defend me, many people think I'm a thief and I have lost prestige at court.
EVTDESCB_ZE_12026	[From.GetFirstName] eventually stepped forward to defend my honor.
EVTOPTA_ZE_12026	I shall remember this.
EVTOPTB_ZE_12026	I can tell it took courage to speak up.
EVTDESCA_ZE_12030	[rowdy_events_char_1.GetFirstName] is always so annoying. I think [rowdy_events_char_1.GetSheHe] tries to win against me in games just to spite me!
EVTDESCB_ZE_12030	There are so many fun things to do, so many forbidden things. I wonder if [rowdy_events_char_1.GetFirstName] would like to join me in some fun pranks?
EVTOPTA_ZE_12030	I'll tell [rowdy_events_char_1.GetHerHim] to stop!
EVTOPTA_ZE_12030_TOOLTIP1	The matter escalates...\n
EVTOPTB_ZE_12030	It doesn't matter, [rowdy_events_char_1.GetSheHe] can win.
EVTOPTC_ZE_12030	I'll ask [rowdy_events_char_1.GetHerHim]!
EVTOPTD_ZE_12030	Or maybe we should just play dice instead.
EVTDESCA_ZE_12032	[From.GetFirstName] is angry with me because I am always winning against [rowdy_events_char_1.GetHerHim] in games.
EVTDESCB_ZE_12032	[From.GetFirstName] seems content to let me win when we play games.
EVTDESCC_ZE_12032	[From.GetFirstName] excitedly asks me if I wanted to come along and to forbidden things, pranks and the like.
EVTDESCD_ZE_12032	[From.GetFirstName] asks me if I wanted to play dice.
EVTOPTA_ZE_12032	I'll tell [From.GetHerHim] to get lost!
EVTOPTB_ZE_12032	I'll just avoid [From.GetHerHim] from now on.
EVTOPTC_ZE_12032	That's all fine then.
EVTOPTD_ZE_12032	Yes!
EVTOPTE_ZE_12032	No, I'm a good [Root.GetBoyGirl].
EVTOPTF_ZE_12032	Sounds like fun!
EVTDESCA_ZE_12034	[From.GetFirstName] got angry and told me to get lost!
EVTDESCB_ZE_12034	[From.GetFirstName] joined me and we did all kinds of pranks and tricks, everything except summoning [Root.Religion.GetRandomEvilGodName]!
EVTDESCB2_ZE_12034	[From.GetFirstName] didn't want to play.
EVTOPTE_ZE_12034	What a shame.
EVTOPTA_ZE_12034	Fist fiiiiight!
EVTOPTB_ZE_12034	I'll walk away, it's not worth it.
EVTOPTC_ZE_12034	We should do this every day!
EVTOPTD_ZE_12034	That was fun, now let's play dice.
EVTDESCA_ZE_12036	[From.GetFirstName] went crazy and started a fist fight with me!
EVTDESCB_ZE_12036	Me and [From.GetFirstName] did all kinds of crazy and forbidden things. It was fun!
EVTOPTA_ZE_12036	Come on then, you [GetRootFromInsult]!
EVTOPTB_ZE_12036	Let's do it again sometime!
playing_dice	Playing Dice
playing_dice_desc	Playing dice successfully requires a sharp eye and a quick mind.
EVTDESCC_ZE_12030	We are playing outside today, and several of the other children are daring me to climb the tallest watchtower.
EVTOPTE_ZE_12030	I'm not afraid!
EVTOPTE_ZE_12030_TOOLTIP1	Slipped while climbing.
EVTOPTE_ZE_12030_TOOLTIP2	Up and down like a squirrel.
EVTOPTF_ZE_12030	No... it's too high.
EVTDESCC_ZE_12034	I rapidly climbed up to the top of the tower. But when climbing down again, I slipped. The fall was very painful, but luckily I wasn't very high up.
EVTDESCD_ZE_12034	Agile as a squirrel, I rapidly climbed up the tower and then down again. Everyone was very impressed.
EVTOPTF_ZE_12034	Owww!
EVTOPTG_ZE_12034	Ha!
EVTDESC_ZE_12230	Languishing in the dungeon, I have realized that there is someone in the cell next to me. I can hear [event_ze_12230_prisoner.GetHerHim] sighing, coughing and complaining sometimes.
EVTOPTA_ZE_12230	I'll try and talk to [event_ze_12230_prisoner.GetHerHim]!
EVTOPTB_ZE_12230	What's the point?
EVTDESCA_ZE_12232	Languishing in the dungeon, I suddenly one day hear a small voice calling to me. It seems there is a young child in the cell next to mine...
EVTDESCB_ZE_12232	Languishing in the dungeon, I suddenly one day hear a voice calling out. It seems there is another child in these dungeons, in the cell next to mine...
EVTOPTA_ZE_12232	Finally someone to talk to!
EVTOPTB_ZE_12232	I have no need for friends here.
EVTDESC_ZE_12234	It turns out that my fellow prisoner's name is [From.GetTitledName]. We have had many whispered conversations in the darkness, quickly becoming friends under these dismal circumstances.
EVTOPTA_ZE_12234	I feel less lonely now.
EVTDESC_ZE_12236	My attemps to make contact with the other prisoner were met only with silence.
EVTOPTA_ZE_12236	Everybody hates me.
pet_rat_dungeon	Pet Rat
pet_rat_dungeon_desc	This character has befriended a rat in the dungeon.
EVTDESC_ZE_12210	Languishing in the dungeon, you have recently made a new friend. It's a small, scruffy rat that keeps coming up to you and cuddling up in your lap.
EVTOPTA_ZE_12210	I name you Flipper.
EVTOPTB_ZE_12210	I name you Cuddles.
EVTOPTC_ZE_12210	I name you Smelly.
EVTOPTD_ZE_12210	Hello, food...
EVTDESCA_ZE_12211	Recently, you notice that there is something wrong with Flipper. [Root.GetSheHeCap] doesn't scurry around and play like [Root.GetSheHe] used to, [Root.GetSheHe] just lies down and moans pitifully, peering at you with [Root.GetHerHis] little beady eyes. [Root.GetSheHeCap] is obviously sick and starving.
EVTDESCB_ZE_12211	Recently, you notice that there is something wrong with Cuddles. [Root.GetSheHeCap] doesn't scurry around and play like [Root.GetSheHe] used to, [Root.GetSheHe] just lies down and moans pitifully, peering at you with [Root.GetHerHis] little beady eyes. [Root.GetSheHeCap] is obviously sick and starving.
EVTDESCC_ZE_12211	Recently, you notice that there is something wrong with Smelly. [Root.GetSheHeCap] doesn't scurry around and play like [Root.GetSheHe] used to, [Root.GetSheHe] just lies down and moans pitifully, peering at you with [Root.GetHerHis] little beady eyes. [Root.GetSheHeCap] is obviously sick and starving.
EVTOPTA_ZE_12211	I'll share my food with [Root.GetHerHim].
EVTOPTB_ZE_12211	There's not enough.
rat_dies_tooltip_1	Flipper dies!
rat_dies_tooltip_2	Cuddles dies!
rat_dies_tooltip_3	Smelly dies!
EVTDESCA_ZE_12219	As the guards release you from the dungeon, you take one last look back. You see Flipper staring at you intently for a moment, [Root.GetHerHis] little eyes shining strangely in the half-darkness. Then [Root.GetSheHe] scurries away into a corner and out of sight.
EVTDESCB_ZE_12219	As the guards release you from the dungeon, you take one last look back. You see Cuddles staring at you intently for a moment, [Root.GetHerHis] little eyes shining strangely in the half-darkness. Then [Root.GetSheHe] scurries away into a corner and out of sight.
EVTDESCC_ZE_12219	As the guards release you from the dungeon, you take one last look back. You see Smelly staring at you intently for a moment, [Root.GetHerHis] little eyes shining strangely in the half-darkness. Then [Root.GetSheHe] scurries away into a corner and out of sight.
EVTOPTA_ZE_12219	I'll never forget you, Flipper!
EVTOPTB_ZE_12219	I'll never forget you, Cuddles!
EVTOPTC_ZE_12219	I'll never forget you, Smelly!
EVTDESC_ZE_12220	Languishing in my dungeon, one night I suddenly wake up with a cold feeling of apprehension. As I stare into the darkness, a hissing, evil voice speaks to me: 'I am the Dread King of Darkness. This dungeon is my realm, and I demand that you serve me.'.
EVTOPTA_ZE_12220	Yes, I will serve you!
EVTOPTB_ZE_12220	Never!
EVTDESC_ZE_12221	Late one night, the Dread King of Darkness appears to me again: 'Servant! You must find me the three dark stones of sorcery. They have been stolen from me and hidden in this dungeon. Know that I do not abide failure!'
EVTOPTA_ZE_12221	I will use force to find them!
EVTOPTB_ZE_12221	I shall use my cunning!
EVTDESC_ZE_12222	Eventually, I managed to recover the three dark stones of sorcery for the Dread King of Darkness. They only look like three ordinary little stones, but surely the King will be pleased.
EVTOPTA_ZE_12222	I am a hero, his most valuable servant!
EVTDESC_ZE_12223	I never managed to recover the three dark stones of sorcery. I now fear that the Dread King of Darkness will come and punish me for my failure.
EVTOPTA_ZE_12223	If I hide in the corner maybe he won't find me.
EVTDESC_ZE_12225	My war with the Dread King of Darkness has begun. Every night he sends his legions of ghosts and shadows to assault me.
EVTOPTA_ZE_12225	I must strike back with all my power!
EVTOPTB_ZE_12225	I must evade, dodge and use my cunning!
EVTDESC_ZE_12226	In my valiant nightly battles against the Dread King of Darkness, I have finally reached the tipping point and forced my enemy to his knees.
EVTOPTA_ZE_12226	I rule in this dungeon!
EVTDESC_ZE_12227	I am exhausted from my nightly battles with the Dread King of Darkness, yet he is steadily advancing against me. It seems that the time for surrender has come.
EVTOPTA_ZE_12227	I should never have challenged him!
12220_submit_to_king	Submits to the Dread King of Darkness.
12220_fight_king	Fights the Dread King of Darkness.
found_dark_stones	Dark Stones of Sorcery
found_dark_stones_desc	This character has imagined strange and fantastic adventures in the dungeons, finding the Dark Stones of Sorcery.
defeated_dread_king	Defeated the Dread King of Darkness
defeated_dread_king_desc	This character has imagined strange and fantastic adventures in the dungeons, defeating the Dread King of Darkness.
dread_king_martial_tooltip	Apply martial skill.
dread_king_intrigue_tooltip	Apply intrigue skill.
CHILDHOOD_FOCUS_PRIDE	Childhood Focus: Pride
CHILDHOOD_FOCUS_HUMILITY	Childhood Focus: Humility
CHILDHOOD_FOCUS_DUTY	Childhood Focus: Duty
CHILDHOOD_FOCUS_ETIQUETTE	Childhood Focus: Etiquette
CHILDHOOD_FOCUS_THRIFT	Childhood Focus: Thrift
CHILDHOOD_FOCUS_FAITH	Childhood Focus: Faith
CHILDHOOD_FOCUS_STRUGGLE	Childhood Focus: Struggle
CHILDHOOD_FOCUS_HERITAGE	Childhood Focus: Heritage
EDUCATION_FOCUS_DIPLOMACY	Education Focus: Diplomacy
EDUCATION_FOCUS_MARTIAL	Education Focus: Martial
EDUCATION_FOCUS_STEWARDSHIP	Education Focus: Stewardship
EDUCATION_FOCUS_INTRIGUE	Education Focus: Intrigue
EDUCATION_FOCUS_LEARNING	Education Focus: Learning
erudite	Erudite
erudite_desc	This character has a scholarly and bookish disposition.
stubborn	Stubborn
stubborn_desc	This character is stubborn as a mule.
INSULT_WINDBAG	windbag
INSULT_BLATHERING	blathering
INSULT_MULE	mule
INSULT_PIGHEADED	pigheaded
REMOVE_GUARDIAN_EFFECT	$GUARDIAN$ stops being the guardian of $WHO$.\n
ALL_CHARACTERS	All Characters
ALL_PROVINCES	All Counties
ALL_LANDED_TITLES	All Landed Titles
ANY_CHAR_STARTS	Any character
ANY_LANDED_TITLE_STARTS	Any landed title
LOG_IN	Log In
LOG_OUT	Log Out
NOT_LOGGED_IN	Not Logged In
LOGGED_IN	Logged In
#CREATE_ACCOUNT	Create Account
NEWSFEED_LOADING	Loading News Feed...
PARADOX_ACCOUNT	Paradox Account
CREATE_ACCOUNT	Create Account
#NAME	Name
PERFORMING_LOGIN	Logging in...
Not%authorized	§REmail or password incorrect§!
LOGIN_TIMEOUT	§RLogin timed out§!
EMAIL	Email
PASSWORD	Password
EMAIL_REQUIRED	Email§R *§!
EMAIL_HINT	Enter a valid email address
PASSWORD_REQUIRED	Password§R *§!
PASSWORD_HINT	Enter Password
REPEAT_PASSWORD_REQUIRED	Repeat Password§R *§!
REPEAT_PASSWORD_HINT	Repeat Password
LANGUAGE_REQUIRED	Language§R *§!
LANGUAGE_HINT	Enter Language
ENTER_LANGUAGE	Enter Language
COUNTRY_REQUIRED	Country§R *§!
COUNTRY_HINT	Enter Country
ENTER_COUNTRY	Enter Country
DATE_OF_BIRTH_REQUIRED	Date of birth§R *§!
DATE_OF_BIRTH_HINT	YYYY-MM-DD
FIRST_NAME	First Name
LAST_NAME	Last Name
ADDRESS	Address
ADDRESS_LINE_1	Address Line 1
ADDRESS_LINE_2	Address Line 2
ADDRESS_CITY	City
ADDRESS_CITY_HINT	Enter City/Town
ADDRESS_STATE	State
ADDRESS_STATE_HINT	Enter State
ADDRESS_ZIP_CODE	Zip Code
ADDRESS_ZIP_CODE_HINT	Enter Zip Code
PHONE	Phone
PHONE_HINT	Enter Phone/Mobile
ACCEPT_AND_SUBMIT	Accept and Submit
CLICK_TO_OPEN_IN_BROWSER	Click to open in browser:
HAVE_READ_TOS	I have read and agree to the Terms of Use
TERMS_OF_USE	Terms of Use
PRIVACY_POLICY	Privacy Policy
REQUIRED_FIELD_DESCRIPTION	§R* §! Required Field
ONE_MOMENT	One moment...
NOT_READ_TOS_ERROR	§RYou must read the Terms of Use to create an account§!
MISSING_REQUIRED_FIELD	§RYou are missing a required field§!
INVALID_EMAIL	§REmail address is not valid§!
PASSWORDS_DONT_MATCH	§RPasswords do not match§!
INVALID_PASSWORD	§RPassword is not valid§!
PASSWORD_DONT_MATCH	§RPasswords don't match§!
WRONG_DOB_FORMAT	Date of birth is not valid
SUCCESS_VERIFICATION_EMAIL_SENT	Account Created! A validation email has been sent to you.
SERVER_ERROR	Server Error
COULD_NOT_FIND_ACCOUNT	Could not find account.
EVTTITLE_ZE_8001	Spouse visit
MINOR_TITLE_REVOKABLE	$TITLE$ can be revoked
FAVOR_EXPIRES_IN	The active favor expires in $FAVOR_EXPIRATION|Y$ month(s)
BUY_FAVOR_INTERACTION_ACCEPT_SETUP	Favor Bought
BUY_FAVOR_INTERACTION_ACCEPT_LOG	§Y[Actor.GetDynName]§! bought a favor from §Y[Recipient.GetDynName]§!
ATTRITION_WEIGHT_SELECTION	Total troops when our armies arrive: $VALUE$
UNITS_CROSS_WATER	$VALUE|Y$ of our selected units will cross water to reach this county
ALL_CROSS_WATER	§YAll§! selected armies will cross water to reach this county
PROVINCE_TOOLTIP_MILITARY_HEADER	Military Information
SEPARATOR	---
opinion_recently_fired	Recently Fired
AIREASON_USED_FAVOR	§Y[Actor.GetBestName]§! called in the favor that §Y[Recipient.GetBestName]§! owed [Actor.GetObjectPronoun]
DIPLO_USE_FAVOR	Call in the favor §Y[Recipient.GetBestName]§! owes you to make [Recipient.GetObjectPronoun] accept
CANNOT_DECLINE_FAVOR	You cannot decline because §Y[Actor.GetBestName]§! called in the favor you owed [Actor.GetObjectPronoun]
#ASK_TO_DECLARE_WAR_INTERACTION_TITLE	Ask Liege to Press Claims
ASK_TO_DECLARE_WAR_INTERACTION_LONG_DESC	By calling in a §YFavor§! you can ask your liege to §Ydeclare war§! and press your claims.
ASK_TO_DECLARE_WAR_INTERACTION_DESC	This calls in a §YFavor§! to ask your liege to §Ydeclare war§! and press your claims.
ASK_TO_DECLARE_WAR_INTERACTION_LETTER	 I request that you repay the favor you owe me by declaring $CB$ against $RECIPIENT$. If you decline my rightful request, I will make sure the council hears of it.
COUNCIL_MUST_AGREE	The council must agree
PRESS_CLAIMS_RECENTLY_REFUSED	$LIEGE|Y$ has not recently refused to press $ACTOR|Y$'s claims
INTERACTION_REQUIRES_PEACE	$ATTACKER|Y$ must be at peace
INTERACTION_REQUIRES_NO_TRUCE	$ATTACKER|Y$ and $DEFENDER|Y$ must not have a truce
ENFORCEABLE_CBS	$ACTOR|Y$ must have claims that $LIEGE|Y$ can press
VALID_CB	$LIEGE|Y$ can press $CB|Y$
LIEGE_WAR_VALID	The war must be valid for $LIEGE|Y$
opinion_refused_press_claims	Refused to press claims
REFUSED_TO_PRESS_CLAIM	Refused to press claims
INTERACTION_FAVOR_FORCED_SETUP	Our Favor used
INTERACTION_FAVOR_FORCED_LOG	$ACTOR|Y$ used the §YFavor§! that $RECIPIENT|Y$ owed them to force $INTERACTION$.
INTERACTION_FAVOR_FORCED_LETTER	$ACTOR|Y$ used the §YFavor§! we owed them to convince us to $INTERACTION$.
#FAVOR_NOT_MATRILINEAL	Not a matrilineal union
FAVOR_INTERACTION_VALID	Interaction is valid
FAVOR_NOT_RULER	$TARGET|Y$ is not a ruler
ARMY_EXPL_DEL	Your Army Levies can be raised from your Demesne holdings and your direct vassals.\nYou pay maintenance for levies from your own holdings, but your vassals will pay for the levies they provide to you (which makes them unhappy).
YOU_IN_UNIT	§YRuler Present§!\nYou are currently marching with this Army, bravely risking your own life.
#COUNCILOR_VOTES	Council votes on $ISSUE|Y$
CHARACTER_POWERFUL_EXPLANATION	Is a major vassal and expects to be on §YThe Council§!
COUNCIL_TABS_JOBS	Positions
loyalist	§YLoyalist§!
malcontent	§YMalcontent§!
zealot	§YZealot§!
pragmatist	§YPragmatist§!
glory_hound	§YGlory Hound§!
LAWS_COUNCIL_POWER	Council Law
councillors_changed_jobs	Changed Council Position Recently
COUNCIL_JOBS_TITLE	§YPositions§!
change_council_job	Change Council Position
#change_council_job_desc	[Root.GetTitledName] will no longer be your [Root.GetJobTitle] and can be assigned a new council position.
EVTDESC_ZE_6021	What would be a suitable position for [moving_councillor.GetTitledName] on the Council?
REQUEST_SUPPORT_INTERACTION_LONG_DESC	Request that [Recipient.GetBestName] will vote like you on the Council. In exchange you will owe [Recipient.GetObjectPronoun] a Favor.
REGENCY_VOTING	During a §YRegency§! the council votes on all issues, even those normally outside their purview.
WAR_ENFORCED_PEACE	\nRealm Peace is enforced in the realm
INTERACTION_LIEGE_HAS_NOT_ENFORCED_PEACE	Realm Peace is not being enforced in the realm
alert_peace_soon_enforced_instant	§YLiege enforcing Realm Peace!§!
alert_peace_soon_enforced_delayed	The Council of $LIEGE|Y$ has declared that peace shall reign in all the realm! \nAll internal wars waged between vassals of $LIEGE|Y$ will end with a §YWhite Peace§! in $MONTHS|Y$ months!\n\nIf you are on the Council you can call in a §YFavor§! from $LIEGE|Y$ to prevent the §YRealm Peace§! from being enforced.
alert_peace_being_enforced_instant	§YLiege has Enforced Realm Peace!§!
alert_peace_being_enforced_delayed	The Council of $LIEGE|Y$ has declared that peace shall reign in all the realm! \nVassals of $LIEGE|Y$ are unable to wage war on each other for another $MONTHS|Y$ months!
ENFORCEPEACE_SETUP	Realm Peace
ENFORCEPEACE_LOG	$LIEGE|Y$ has notified his vassal $VASSAL|Y$ about the decision to enforce peace.
ENFORCEPEACE_LETTER	\nWith the support of my Council I decree that there shall be Peace in all my realm. You have three months to end your conflicts.
ENFORCE_PEACE	Realm Peace
OWES_FAVOR	$RECIPIENT|Y$ must owe $ACTOR|Y$ a favor
STOP_ENFORCE_PEACE_INTERACTION_TITLE	Prevent Realm Peace
STOP_ENFORCE_PEACE_INTERACTION_LONG_DESC	By calling in a §YFavor§!, you can prevent your liege from enforcing §YRealm Peace§! this time. Your liege will be prevented from using the §YCouncil§! to invoke §YRealm Peace§! again for two years.
STOP_ENFORCE_PEACE_INTERACTION_DESC	This spends a §YFavor§! to stop §YRealm Peace§! from being enforced. Your liege can not attempt to enforce §YRealm Peace§! for two years after this.
STOP_ENFORCE_PEACE_INTERACTION_LETTER	My liege, I want to remind you that you owe me a favor, and your decree of peace in the realm goes against my interests...
STOP_ENFORCE_PEACE_INTERACTION_ACCEPT_LOG	§Y[Actor.GetBestName]§! called in a §YFavor§! from §Y[Recipient.GetBestName]§! to stop §YRealm Peace§! from being enforced.
CAN_VOTE_ON_ENFORCE_PEACE	Council is allowed to enforce peace.
PEACE_NOT_ENFORCED	Peace is not already being enforced.
PEACE_ENFORCED_NOT_BLOCKED	§YRealm Peace§! has not been blocked by a §YFavor§!.
