#CODE	ENGLISH	ENGLISH
#MODIFIER_COMBAT_RATING	Combat Rating	Combat Rating
CR_DIFF_LOWER_THAN	Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!	Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!
EVTDESC_WOL_2082_HERETIC	[From.GetTitledName] claims that [target_spy_on.GetTitledName] is attempting to promote vile heresies. How should I use this information?	[From.GetTitledName] claims that [target_spy_on.GetTitledName] is attempting to promote vile heresies. How should I use this information?
EVTDESC_WOL_2082_INFIDEL	[From.GetTitledName] tell me that [target_spy_on.GetTitledName] is preaching [target_spy_on.GetPossPronoun] false religion in [target_spy_on.Capital.Capital.GetName]. How should I respond to this?	[From.GetTitledName] tell me that [target_spy_on.GetTitledName] is preaching [target_spy_on.GetPossPronoun] false religion in [target_spy_on.Capital.Capital.GetName]. How should I respond to this?
EVTDESC_WOL_2082_TRAITOR	Though of somewhat dubious provenance, [From.GetTitledName] has presented me with evidence that [target_spy_on.GetTitledName] is plotting treason against me! How should I respond to this?	Though of somewhat dubious provenance, [From.GetTitledName] has presented me with evidence that [target_spy_on.GetTitledName] is plotting treason against me! How should I respond to this?
EVTDESC_WOL_2083	[From.GetTitledName] was grateful, and upset, about the evidence I provided against [target_spy_on.GetTitledName]. [target_spy_on.GetSubjectPronounCap] has been publicly denounced and humiliated!	[From.GetTitledName] was grateful, and upset, about the evidence I provided against [target_spy_on.GetTitledName]. [target_spy_on.GetSubjectPronounCap] has been publicly denounced and humiliated!
EVTOPTA_WOL_2083	Muahaha!	Muahaha!
EVTDESC_WOL_2084	[From.GetTitledName] was grateful, and upset, about the evidence I provided against [target_spy_on.GetTitledName], and will use it to blackmail [target_spy_on.GetObjectPronoun] out of factionalism.	[From.GetTitledName] was grateful, and upset, about the evidence I provided against [target_spy_on.GetTitledName], and will use it to blackmail [target_spy_on.GetObjectPronoun] out of factionalism.
EVTOPTA_WOL_2084	The things I do for stability in the realm...	The things I do for stability in the realm...
EVTDESC_WOL_2085	[From.GetTitledName] reacted with shock at the evidence I provided against [target_spy_on.GetTitledName], but will not take any action against [target_spy_on.GetObjectPronoun].	[From.GetTitledName] reacted with shock at the evidence I provided against [target_spy_on.GetTitledName], but will not take any action against [target_spy_on.GetObjectPronoun].
EVTOPTA_WOL_2085	A wasted opportunity!	A wasted opportunity!
EVTDESC_WOL_2086	[From.GetTitledName] claims to have proof that I have slandered [From.GetObjectPronoun]. [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...	[From.GetTitledName] claims to have proof that I have slandered [From.GetObjectPronoun]. [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...
EVTDESC_WOL_2086_BASTARD	[From.GetTitledName] claims to have discovered proof that my real father is in fact [Root.RealFather.GetTitledName], making me a bastard! [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...	[From.GetTitledName] claims to have discovered proof that my real father is in fact [Root.RealFather.GetTitledName], making me a bastard! [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...
EVTDESC_WOL_2086_TRAITOR	[From.GetTitledName] is claiming to have witnesses that can testify to the fact that I'm a traitor! [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...	[From.GetTitledName] is publicly denouncing me as a traitor, claiming to have witnesses that can testify against me. [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...
EVTDESC_WOL_2086_HERETIC	[From.GetTitledName] is claiming to know that I am promoting heresy, but promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...	[From.GetTitledName] is claiming to know that I am promoting heresy, but promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...
EVTDESC_WOL_2086_INFIDEL	[From.GetTitledName] is claiming to know about my attempts to spread my [Root.Religion.GetGroupName] faith! [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...	[From.GetTitledName] is claiming to know about my attempts to spread my [Root.Religion.GetGroupName] faith! [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...
EVTDESC_WOL_2086_DEVIANT	[From.GetTitledName] claims to have unearthed shocking evidence of my criminal deviancy and low morals. [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...	[From.GetTitledName] claims to have unearthed shocking evidence of my criminal deviancy and low morals. [From.GetSubjectPronounCap] promises to keep this to [From.GetReflexivePronoun] if I promise to stay out of all factions...
EVTOPTA_WOL_2086	I have no choice but to agree.	I have no choice but to agree.
EVTOPTB_WOL_2086	Never!	Never!
EVTDESC_WOL_2087	When confronted with the evidence, [From.GetTitledFirstName] swore to stay out of all factions and be loyal.	When confronted with the evidence, [From.GetTitledFirstName] swore to stay out of all factions and be loyal.
EVTDESC_WOL_2088	[From.GetTitledFirstName] just laughed at the evidence, flat out refusing to stop meddling in political factionalism.	[From.GetTitledFirstName] just laughed at the evidence, flat out refusing to stop meddling in political factionalism.
EVTOPTA_WOL_2088	[From.GetSubjectPronounCap] will live to regret this!	[From.GetSubjectPronounCap] will live to regret this!
EVTDESC_WOL_2090	When confronted with the evidence, [From.GetTitledFirstName] swore to join my factions.	When confronted with the evidence, [From.GetTitledFirstName] swore to join my factions.
EVTDESC_WOL_2091	[From.GetTitledFirstName] just laughed at the evidence, flat out refusing to join my factions.	[From.GetTitledFirstName] just laughed at the evidence, flat out refusing to join my factions.
EVTDESC_WOL_2100	I have found out nothing new and useful about [target_spy_on.GetTitledName], but, as my shady informant pointed out, there is nothing preventing me from making stuff up. The bigger the lie...	I have found out nothing new and useful about [target_spy_on.GetTitledName], but, as my shady informant pointed out, there is nothing preventing me from making stuff up. The bigger the lie...
EVTOPTA_WOL_2100_1	I have it! [target_spy_on.GetSubjectPronounCap] likes to dress up as a [target_spy_on.GetManWomanOpp]!	I have it! [target_spy_on.GetSubjectPronounCap] likes to dress up as a [target_spy_on.GetManWomanOpp]!
EVTOPTA_WOL_2100_2	How about a classic? [target_spy_on.GetSubjectPronounCap] takes little boys to bed!	How about a classic? [target_spy_on.GetSubjectPronounCap] takes little boys to bed!
#EVTOPTA_WOL_2100_3	Hmmm. Midgets, old shoes, animals... Yes! [target_spy_on.GetFirstName] is having an affair with a feisty goat!	Hmmm. Midgets, old shoes, animals... Yes! [target_spy_on.GetFirstName] is having an affair with a feisty goat!
EVTOPTA_WOL_2100_4	[target_spy_on.GetSubjectPronounCap] likes to bathe in the blood of virgins. Brilliant!	[target_spy_on.GetSubjectPronounCap] likes to bathe in the blood of virgins. Brilliant!
#EVTOPTA_WOL_2100_5	How about murder? I am sure [target_spy_on.GetSubjectPronoun] murdered a childhood friend at the tender age of 11.	How about murder? I am sure [target_spy_on.GetSubjectPronoun] murdered a childhood friend at the tender age of 11.
#EVTOPTA_WOL_2100_6	Aha! [target_spy_on.GetSubjectPronounCap] likes to discuss philosophy with [target_spy_on.GetPossPronoun] imaginary friend, Bappo!	Aha! [target_spy_on.GetSubjectPronounCap] likes to discuss philosophy with [target_spy_on.GetPossPronoun] imaginary friend, Bappo!
EVTOPTA_WOL_2100_7	[target_spy_on.Religion.GetRandomEvilGodNameCap]! Yes, [target_spy_on.GetSubjectPronoun] is surely a willing slave to dark forces!	[target_spy_on.Religion.GetRandomEvilGodNameCap]! Yes, [target_spy_on.GetSubjectPronoun] is surely a willing slave to dark forces!
#EVTOPTA_WOL_2100_8	[target_spy_on.GetFirstName] leads a secret life as a prostitute in the filthiest brothel in [target_spy_on.Capital.Capital.GetName]!	[target_spy_on.GetFirstName] leads a secret life as a prostitute in the filthiest brothel in [target_spy_on.Capital.Capital.GetName]!
EVTOPTB_WOL_2100	No, I need something real.	No, I need something real.
EVTTOOLTIP_WOL_2101	[This.GetTitledFirstName] finds out that I started the rumors.	[This.GetTitledFirstName] finds out that I started the rumors.
EVTDESC_WOL_2101	Several vicious rumors have been circulating about me lately. With a lot of effort, I have finally managed to trace them back to [From.GetTitledName]!	Several vicious rumors have been circulating about me lately. With a lot of effort, I have finally managed to trace them back to [From.GetTitledName]!
EVTOPTA_WOL_2101	The [GetRootFromInsult]!	The [GetRootFromInsult]!
EVTDESC_WOL_2110	One of my informants, a young soldier with more vices than he can afford, has managed to gain the trust of [FromFromFrom.GetTitledFirstNameNoRegnal] and now often stands guard outside [FromFromFrom.GetPossPronoun] door. I don't understand how the fellow managed it, but who am I to look a gift horse in the mouth? For enough gold, he might be persuaded to get rid of [FromFromFrom.GetFirstName]... violently.	One of my informants, a young soldier with more vices than he can afford, has managed to gain the trust of [FromFromFrom.GetTitledFirstNameNoRegnal] and now often stands guard outside [FromFromFrom.GetPossPronoun] door. I don't understand how the fellow managed it, but who am I to look a gift horse in the mouth? For enough gold, he might be persuaded to get rid of [FromFromFrom.GetFirstName]... violently.
EVTOPTA_WOL_2110	Yes, that would be expedient.	Yes, that would be expedient.
EVTOPTB_WOL_2110	Murder is going too far!	Murder is going too far!
EVTTOOLTIP_WOL_2111	[This.GetTitledFirstNameNoRegnal] is attacked and hopefully slain...	[This.GetTitledFirstNameNoRegnal] is attacked and hopefully slain...
EVTDESC_WOL_2111_DEATH	I try to sit up in bed, but someone is holding me down! It's the burly armsman with the trustworthy face I promoted to the guard last week. Another assailant is trying to force a rag into my mouth. Holding my nose too... can't breathe...	I try to sit up in bed, but someone is holding me down! It's the burly armsman with the trustworthy face I promoted to the guard last week. Another assailant is trying to force a rag into my mouth. Holding my nose too... can't breathe...
EVTDESC_WOL_2111_WOUNDED	I try to sit up in bed, but someone is holding me down! It's the burly armsman with the trustworthy face I promoted to the guard last week. There is a skinny little fellow with him, grinning viciously as he produces a dagger and stabs me! Screaming and thrashing about, I manage to kick the guard in the groin and break free. I punch the other one in the nose and rush from the room, trailing blood.	I try to sit up in bed, but someone is holding me down! It's the burly armsman with the trustworthy face I promoted to the guard last week. There is a skinny little fellow with him, grinning viciously as he produces a dagger and stabs me! Screaming and thrashing about, I manage to kick the guard in the groin and break free. I punch the other one in the nose and rush from the room, trailing blood.
EVTDESC_WOL_2111_LIVES	I try to sit up in bed, but someone is holding me down! It's the burly armsman with the trustworthy face I promoted to the guard last week. There is a skinny little fellow with him, grinning viciously as he produces a dagger. Screaming and thrashing about, I manage to kick the guard in the groin and break free. I punch the other one in the nose and rush from the room!	I try to sit up in bed, but someone is holding me down! It's the burly armsman with the trustworthy face I promoted to the guard last week. There is a skinny little fellow with him, grinning viciously as he produces a dagger. Screaming and thrashing about, I manage to kick the guard in the groin and break free. I punch the other one in the nose and rush from the room!
EVTOPT_WOL_2111_DEATH	I don't want to die like this!	I don't want to die like this!
EVTOPT_WOL_2111_DEATH_KNOWN	[From.GetTitledName] sends [From.GetPossPronoun] regards!'	[From.GetTitledName] sends [From.GetPossPronoun] regards!'
EVTOPT_WOL_2111_UNKNOWN	Unfortunately, the two assailants got away.	Unfortunately, the two assailants got away.
EVTOPT_WOL_2111_KNOWN	Under torture, the two men admitted that [From.GetTitledName] hired them!	Under torture, the two men admitted that [From.GetTitledName] hired them!
EVTDESC_WOL_2112	In disguise, I meet up with my friend, [From.GetTitledFirstNameNoRegnal]'s burly armsman and his shifty-looking associate at a run-down tavern. Grinning, he recounts how they stabbed [From.GetTitledName] to death in [From.GetPossPronoun] bed. I hand them a bag of coins and leave.	In disguise, I meet up with my friend, [From.GetTitledFirstNameNoRegnal]'s burly armsman and his shifty-looking associate at a run-down tavern. Grinning, he recounts how they stabbed [From.GetTitledName] to death in [From.GetPossPronoun] bed. I hand them a bag of coins and leave.
EVTOPTA_WOL_2112	Outside, I order my guards to tie up the loose ends...	Outside, I order my guards to tie up the loose ends...
EVTDESC_WOL_2113	My spy, [From.GetTitledFirstNameNoRegnal]'s burly armsman, managed to slay the [GetRootFromInsult] in [From.GetPossPronoun] bed. Unfortunately, he was captured trying to escape. My complicity is known!	My spy, [From.GetTitledFirstNameNoRegnal]'s burly armsman, managed to slay the [GetRootFromInsult] in [From.GetPossPronoun] bed. Unfortunately, he was captured trying to escape. My complicity is known!
EVTOPTA_WOL_2113	It was worth it!	It was worth it!
EVTDESC_WOL_2114	In disguise, I meet up with my friend, [From.GetTitledFirstNameNoRegnal]'s burly armsman and his shifty-looking associate at a run-down tavern. Shamefacedly, he recounts how they stabbed [From.GetTitledFirstName] in [From.GetPossPronoun] bed, and how [From.GetSubjectPronoun] somehow managed to get away. I pat him on the shoulder and tell him it's alright.	In disguise, I meet up with my friend, [From.GetTitledFirstNameNoRegnal]'s burly armsman and his shifty-looking associate at a run-down tavern. Shamefacedly, he recounts how they stabbed [From.GetTitledFirstName] in [From.GetPossPronoun] bed, and how [From.GetSubjectPronoun] somehow managed to get away. I pat him on the shoulder and tell him it's alright.
EVTDESC_WOL_2115	My spy, [From.GetTitledFirstNameNoRegnal]'s burly armsman, only managed to wound the [GetRootFromInsult]. Worse, he was captured trying to escape. My complicity is known!	My spy, [From.GetTitledFirstNameNoRegnal]'s burly armsman, only managed to wound the [GetRootFromInsult]. Worse, he was captured trying to escape. My complicity is known!
EVTOPTA_WOL_2115	I hope [From.GetSubjectPronoun] dies from infection!	I hope [From.GetSubjectPronoun] dies from infection!
EVTDESC_WOL_2116	In disguise, I meet up with my friend, [From.GetTitledFirstNameNoRegnal]'s burly armsman and his shifty-looking associate at a run-down tavern. Shamefacedly, he recounts how they attacked [From.GetTitledFirstName] in [From.GetPossPronoun] bed, but how [From.GetSubjectPronoun] managed to break free and get away. I pat him on the shoulder and tell him it's alright.	In disguise, I meet up with my friend, [From.GetTitledFirstNameNoRegnal]'s burly armsman and his shifty-looking associate at a run-down tavern. Shamefacedly, he recounts how they attacked [From.GetTitledFirstName] in [From.GetPossPronoun] bed, but how [From.GetSubjectPronoun] managed to break free and get away. I pat him on the shoulder and tell him it's alright.
EVTDESC_WOL_2117	My spy, [From.GetTitledFirstNameNoRegnal]'s burly armsman, completely botched the attack on the [GetRootFromInsult]. Worse, he was captured trying to escape. My complicity is known!	My spy, [From.GetTitledFirstNameNoRegnal]'s burly armsman, completely botched the attack on the [GetRootFromInsult]. Worse, he was captured trying to escape. My complicity is known!
EVTOPTA_WOL_2117	Incompetent bungler! I should have done it myself.	Incompetent bungler! I should have done it myself.
EVTDESC_WOL_2120	I have learned from my little birds that [FromFromFrom.GetTitledFirstNameNoRegnal] plans to travel the realm incognito for a lark, mingling with the common folk. [FromFromFrom.GetSubjectPronounCap] will only be protected by two loyal friends during this little adventure - a great opportunity to have [FromFromFrom.GetObjectPronoun] abducted, if I so wished.	I have learned from my little birds that [FromFromFrom.GetTitledFirstNameNoRegnal] plans to travel the realm incognito for a lark, mingling with the common folk. [FromFromFrom.GetSubjectPronounCap] will only be protected by two loyal friends during this little adventure - a great opportunity to have [FromFromFrom.GetObjectPronoun] abducted, if I so wished.
EVTOPTA_WOL_2120	Ah yes. It would suit my purposes marvellously!	Ah yes. It would suit my purposes marvellously!
EVTOPTB_WOL_2120	No, I have no reason to do that.	No, I have no reason to do that.
EVTTOOLTIP_WOL_2121	Some thugs are hired, with orders to bring me [FromFromFrom.GetTitledFirstNameNoRegnal] alive.	Some thugs are hired, with orders to bring me [FromFromFrom.GetTitledFirstNameNoRegnal] alive.
EVTDESC_WOL_2121	On a lark, I decided to travel among the common folk incognito with but a friend, a servant and a bodyguard. As we ride through a forest, an arrow suddenly sprouts from the neck of my trusty guard! Shouting a warning, I ride like crazy to get away...	On a lark, I decided to travel among the common folk incognito with but a friend, a servant and a bodyguard. As we ride through a forest, an arrow suddenly sprouts from the neck of my trusty guard! Shouting a warning, I ride like crazy to get away...
EVTOPT_WOL_2121_CAUGHT	...but we are surrounded! No bandits, but the agents of [From.GetTitledName].	...but we are surrounded! No bandits, but the agents of [From.GetTitledName].
EVTOPT_WOL_2121	...and manage to outdistance the bandits! Amateurs.	...and manage to outdistance the bandits! Amateurs.
EVTDESC_WOL_2122	My hired thugs managed to waylay [From.GetTitledFirstNameNoRegnal] and brought [From.GetObjectPronoun] to me in a sack!	My hired thugs managed to waylay [From.GetTitledFirstNameNoRegnal] and brought [From.GetObjectPronoun] to me in a sack!
EVTDESC_WOL_2123	The thugs I hired failed to capture [From.GetTitledFirstNameNoRegnal], though apparently they slew a guard and a servant in the attempt.	The thugs I hired failed to capture [From.GetTitledFirstNameNoRegnal], though apparently they slew a guard and a servant in the attempt.
EVTOPTA_WOL_2123	Morons! You can't find good help these days...	Morons! You can't find good help these days...
EVTDESC_WOL_2200	I have decided to free [From.GetTitledName] from the dungeons of [From.Host.GetTitledName]. It will take time - and likely some gold - but [From.GetFirstName] deserves a better fate!	I have decided to free [From.GetTitledName] from the dungeons of [From.Host.GetTitledName]. It will take time - and likely some gold - but [From.GetFirstName] deserves a better fate!
EVTOPTA_WOL_2200	I'll probably need an agent in [From.Host.Capital.Capital.GetName]...	I'll probably need an agent in [From.Host.Capital.Capital.GetName]...
EVTDESC_WOL_2201	I have decided to liberate my beloved [GetFromRelation] [From.GetFirstName] from the filthy paws of her abductor, [From.Employer.GetTitledName]. It will take time - and likely some gold - but [From.GetFirstName] deserves a better fate!	I have decided to liberate my beloved [GetFromRelation] [From.GetFirstName] from the filthy paws of her abductor, [From.Employer.GetTitledName]. It will take time - and likely some gold - but [From.GetFirstName] deserves a better fate!
EVTDESC_WOL_2211	[target_captive.GetTitledFirstName] has tragically died in captivity before I had a chance to break [target_captive.GetObjectPronoun] out.	[target_captive.GetTitledFirstName] has tragically died in captivity before I had a chance to break [target_captive.GetObjectPronoun] out.
EVTOPTA_WOL_2211	Well, it was worth a shot!	Well, it was worth a shot!
EVTDESC_WOL_2212	[target_captive.GetTitledFirstName] has tragically fallen comatose, making my endeavour to free [target_captive.GetObjectPronoun] rather pointless.	[target_captive.GetTitledFirstName] has tragically fallen comatose, making my endeavour to free [target_captive.GetObjectPronoun] rather pointless.
EVTDESC_WOL_2213	[target_captive.GetTitledFirstName] is no longer a prisoner, so I can abort my plans to free [target_captive.GetObjectPronoun].	[target_captive.GetTitledFirstName] is no longer a prisoner, so I can abort my plans to free [target_captive.GetObjectPronoun].
EVTDESC_WOL_2221	I've approached [From.GetBestName] at the court of [From.Employer.GetTitledName] with my plan to liberate [target_captive.GetTitledFirstName]. [From.GetFirstName] is sympathetic and might be persuaded to take the risk...	I've approached [From.GetBestName] at the court of [From.Employer.GetTitledName] with my plan to liberate [target_captive.GetTitledFirstName]. [From.GetFirstName] is sympathetic and might be persuaded to take the risk...
EVTOPTA_WOL_2221	Put the plan in motion!	Put the plan in motion!
EVTOPTB_WOL_2221	Bribe [From.GetFirstName] and go ahead with the plan.	Bribe [From.GetFirstName] and go ahead with the plan.
EVTOPTC_WOL_2221	Seduce [From.GetFirstName] and go ahead with the plan.	Seduce [From.GetFirstName] and go ahead with the plan.
EVTOPTD_WOL_2221	I've changed my mind. Abort the whole scheme.	I've changed my mind. Abort the whole scheme.
EVTDESC_WOL_2223	I woke from my troubled sleep with a start. Was that a thud outside my cell? Keys rattle in the lock and the door opens to a thin beam of light. It's [From.GetBestName]! 'Come with me quickly [Root.GetLordLady]! [FromFrom.GetTitledFirstNameNoRegnal] has hired me to help you escape!'	I woke from my troubled sleep with a start. Was that a thud outside my cell? Keys rattle in the lock and the door opens to a thin beam of light. It's [From.GetBestName]! 'Come with me quickly [Root.GetLordLady]! [FromFrom.GetTitledFirstNameNoRegnal] has hired me to help you escape!'
EVTOPTA_WOL_2223	Freedom!	Freedom!
EVTDESC_WOL_2224	I received some bad news this morning. My prisoner, [From.GetBestName] escaped from [From.GetPossPronoun] cell in the night. [From.GetSubjectPronounCap] had outside help - one of the guards might never wake from the blow to his head...	I received some bad news this morning. My prisoner, [From.GetBestName] escaped from [From.GetPossPronoun] cell in the night. [From.GetSubjectPronounCap] had outside help - one of the guards might never wake from the blow to his head...
EVTDESC_WOL_2224_CONSORT	My concubine [From.GetBestName] has fled! She climbed out of her tower room window, probably with outside assistance, because my guards were completely unable to locate her before she escaped my realm.	My concubine [From.GetBestName] has fled! She climbed out of her tower room window, probably with outside assistance, because my guards were completely unable to locate her before she escaped my realm.
EVTOPTA_WOL_2224	[FromFromFrom.GetTitledName] was surely behind this!	[FromFromFrom.GetTitledName] was surely behind this!
EVTDESC_WOL_2225	Good news! [From.GetBestName] was successfully sprung from captivity by the daring [FromFrom.GetBestName] and is safely back in [Root.Capital.Capital.GetName]!	Good news! [From.GetBestName] was successfully sprung from captivity by the daring [FromFrom.GetBestName] and is safely back in [Root.Capital.Capital.GetName]!
EVTDESC_WOL_2226	I woke from my troubled sleep with a start. Was that a thud outside my cell? Keys rattle in the lock and the door opens to a bright light. It's that ogre of a gaoler. 'This blighter attempted your rescue', he growls, and holds up a comatose [From.GetManWoman] like a ragdoll. '[Root.Host.GetTitledFirstNameNoRegnal] won't be too pleased, now will [Root.Host.GetSubjectPronoun]!?'	I woke from my troubled sleep with a start. Was that a thud outside my cell? Keys rattle in the lock and the door opens to a bright light. It's that ogre of a gaoler. 'This blighter attempted your rescue', he growls, and holds up a comatose [From.GetManWoman] like a ragdoll. '[Root.Host.GetTitledFirstNameNoRegnal] won't be too pleased, now will [Root.Host.GetSubjectPronoun]!?'
EVTOPTA_WOL_2226	Poor [From.GetManWoman]... was that [From.GetBestName]?	Poor [From.GetManWoman]... was that [From.GetBestName]?
EVTDESC_WOL_2227	The prison guards foiled an escape attempt last night. My treacherous [GetFromFromRelation] [FromFrom.GetBestName] was captured trying to free [From.GetTitledName] from [From.GetPossPronoun] cell!	The prison guards foiled an escape attempt last night. My treacherous [GetFromFromRelation] [FromFrom.GetBestName] was captured trying to free [From.GetTitledName] from [From.GetPossPronoun] cell!
EVTDESC_WOL_2227_CONSORT	My [GetFromRelation] [From.GetFirstName] was almost abducted last night. The treacherous [FromFrom.GetBestName] attempted to 'rescue' her by climbing in through the window, but slipped and fell! When questioned, the concussed [FromFrom.GetFirstName] admitted that [FromFromFrom.GetTitledName] was behind this chivalrous idiocy.	My [GetFromRelation] [From.GetFirstName] was almost abducted last night. The treacherous [FromFrom.GetBestName] attempted to 'rescue' her by climbing in through the window, but slipped and fell! When questioned, the concussed [FromFrom.GetFirstName] admitted that [FromFromFrom.GetTitledName] was behind this chivalrous idiocy.
EVTOPTA_WOL_2227	The dungeon is not secure enough. Throw [From.GetFirstName] in the oubliette!	The dungeon is not secure enough. Throw [From.GetFirstName] in the oubliette!
EVTOPTB_WOL_2227	Tighten security!	Tighten security!
EVTDESC_WOL_2228	The [GetRootFromInsult] [From.GetTitledFirstNameNoRegnal] had me thrown me in the oubliette to make sure I don't escape!	The [GetRootFromInsult] [From.GetTitledFirstNameNoRegnal] had me thrown me in the oubliette to make sure I don't escape!
EVTOPTA_WOL_2228	I will die here...	I will die here...
EVTDESC_WOL_2229	Bad news... [FromFrom.GetBestName] failed to free [From.GetBestName] from [From.GetPossPronoun] captivity and was imprisoned [FromFrom.GetReflexivePronoun]!	Bad news... [FromFrom.GetBestName] failed to free [From.GetBestName] from [From.GetPossPronoun] captivity and was imprisoned [FromFrom.GetReflexivePronoun]!
EVTOPTA_WOL_2229	Damnation! Security will be too tight now.	Damnation! Security will be too tight now.
EVTDESC_WOL_2300	I watched from the shadows as my spymaster, [Root.job_spymaster.GetTitledFirstNameNoRegnal], surreptitiously marked a spot on the wall with a piece of chalk. This might just be [Root.job_spymaster.GetPossPronoun] normal skulduggery, but my intuition says not...	I watched from the shadows as my spymaster, [Root.job_spymaster.GetTitledFirstNameNoRegnal], surreptitiously marked a spot on the wall with a piece of chalk. This might just be [Root.job_spymaster.GetPossPronoun] normal skulduggery, but my intuition says not...
EVTOPTA_WOL_2300	Time to spy on the spy	Time to spy on the spy
EVTDESC_WOL_2302	Eavesdropping from a secret passage in the walls, I overheard my faithless spymaster [Root.job_spymaster.GetFirstName] talking to another conspirator. They are plotting to [From.GetPlot]!	Eavesdropping from a secret passage in the walls, I overheard my faithless spymaster [Root.job_spymaster.GetFirstName] talking to another conspirator. They are plotting to [From.GetPlot]!
EVTOPTA_WOL_2302	Arrest [Root.job_spymaster.GetTitledFirstNameNoRegnal] immediately!	Arrest [Root.job_spymaster.GetTitledFirstNameNoRegnal] immediately!
EVTOPTB_WOL_2302	Hold off. I will deal with this later.	Hold off. I will deal with this later.
EVTDESC_WOL_2303	My snooping [GetFromRelation], [From.GetTitledFirstName], apparently overheard me plotting murder and did not take kindly to my plans. I have been arrested!	My snooping [GetFromRelation], [From.GetTitledFirstName], apparently overheard me plotting murder and did not take kindly to my plans. I have been arrested!
EVTDESC_WOL_2304	Over the last week, I have observed my spymaster [Root.job_spymaster.GetFirstName] carefully and found nothing further to arouse my suspicion. Perhaps I'll just have to accept that odd behaviour goes with the job...	Over the last week, I have observed my spymaster [Root.job_spymaster.GetFirstName] carefully and found nothing further to arouse my suspicion. Perhaps I'll just have to accept that odd behaviour goes with the job...
EVTOPTA_WOL_2304	I have more important things to do	I have more important things to do
EVTOPTB_WOL_2304	I can't take any chances. Have [Root.job_spymaster.GetObjectPronoun] replaced.	I can't take any chances. Have [Root.job_spymaster.GetObjectPronoun] replaced.
EVTDESC_WOL_2305	I have noticed my [GetFromRelation] [From.GetTitledFirstName] clumsily spying on me lately. It probably has something to do with [From.GetPossPronoun] unhealthy obsession with intrigue and an overly suspicious mind. I should be careful.	I have noticed my [GetFromRelation] [From.GetTitledFirstName] clumsily spying on me lately. It probably has something to do with [From.GetPossPronoun] unhealthy obsession with intrigue and an overly suspicious mind. I should be careful.
EVTOPTA_WOL_2305	Lead [From.GetObjectPronoun] a merry chase!	Lead [From.GetObjectPronoun] a merry chase!
EVTDESC_WOL_3002	I would do anything for the family, but it is hard work cultivating loyalty and devotion not just towards me, but between all the disparate members of our great House. When I'm gone, the harmony and stability I leave behind will be my greatest legacy.	I would do anything for the family, but it is hard work cultivating loyalty and devotion not just towards me, but between all the disparate members of our great House. When I'm gone, the harmony and stability I leave behind will be my greatest legacy.
EVTOPTA_WOL_3002	Hear me roar!	Hear me roar!
EVTDESC_WOL_3003	House [Root.GetOnlyDynastyName] stands firm on the rock of its proud [Root.GetPatriarchMatriarch] - [Root.GetTitledFirstNameNoRegnal]!	House [Root.GetOnlyDynastyName] stands firm on the rock of its proud [Root.GetPatriarchMatriarch] - [Root.GetTitledFirstNameNoRegnal]!
#EVTOPTA_WOL_3003	I shall be like a lion, proud and admired	I shall be like a lion, proud and admired
#EVTOPTB_WOL_3003	I shall be like a falcon, fierce but protective of its brood	I shall be like a falcon, fierce but protective of its brood
EVTOPTC_WOL_3003	No, I seek another lifestyle	No, I seek another lifestyle
EVTDESC_WOL_3010	I have been spending more time with my [target_spouse.GetHusbandWife] [target_spouse.GetFirstName] lately, and though of course we did not marry for love, I can tell it is growing between us.	I have been spending more time with my [target_spouse.GetHusbandWife] [target_spouse.GetFirstName] lately, and though of course we did not marry for love, I can tell it is growing between us.
EVTOPTA_WOL_3010	Ah, marital bliss!	Ah, marital bliss!
EVTDESC_WOL_3022	I have been making an effort to spend more time with my [GetFromRelation] [From.GetFirstName] lately. We have not always seen eye to eye, but as [From.GetPossPronoun] liege, it is especially important to foster loyalty and respect.	I have been making an effort to spend more time with my [GetFromRelation] [From.GetFirstName] lately. We have not always seen eye to eye, but as [From.GetPossPronoun] liege, it is especially important to foster loyalty and respect.
